net_name,status,bbox_area,bbox_aspect,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_perimeter,bbox_xmax,bbox_xmin,bbox_ymax,bbox_ymin,bterm_count,dist_drv_sink_max,dist_drv_sink_mean,dist_drv_sink_sum,driver_inst_area,driver_is_buf,driver_is_clkbuf,driver_is_ff_q,driver_is_inv,fanout,has_bterm,has_multiple_drivers,hpwl,is_bus_bit,is_clock_like,is_enable_like,is_reg2reg_candidate,is_reset_like,iterm_count,net_dbid,num_buf_drivers,num_buf_sinks,num_clkbuf_drivers,num_drivers,num_ff_sinks_d,num_inout,num_inv_drivers,num_inv_sinks,num_port_drivers,num_port_sinks,num_sinks,odb_net,sink_area_buf_sum,sink_area_ff_sum,sink_area_inv_sum,sink_area_max,sink_area_mean,sink_area_std,sink_area_sum,sink_centroid_dist_to_driver,sink_cnt,sink_dist_p50,sink_dist_p90,sink_dist_p95,sink_max_x,sink_max_y,sink_min_x,sink_min_y,sink_quadrant_q1,sink_quadrant_q2,sink_quadrant_q3,sink_quadrant_q4,sink_x_mean,sink_x_std,sink_y_mean,sink_y_std,term_count
"_0000_","OK","682.123487999994","0.010202029577338092","335.071","462.318","2.637999999999977","258.576","522.428","336.39","333.752","591.606","333.03","0","266.68000000000006","266.68000000000006","266.68000000000006","22.5216","0","0","0","0","1","0","0","261.214","0","0","0","0","0","2","_78d32f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_78d32f8bfe5c0000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","266.68000000000006","1","266.68000000000006","266.68000000000006","266.68000000000006","338.56","333.2","338.56","333.2","0","0","0","1","338.56","","333.2","","2"
"_0001_","OK","15.632607999999681","1.8639502755994803","296.89099999999996","715.278","5.397999999999968","2.895999999999958","16.58799999999985","299.59","294.192","716.726","713.83","0","13.759999999999991","13.759999999999991","13.759999999999991","22.5216","0","0","0","0","1","0","0","8.293999999999926","0","0","0","0","0","2","_f0d32f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_f0d32f8bfe5c0000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","13.759999999999991","1","13.759999999999991","13.759999999999991","13.759999999999991","301.76","714.0","301.76","714.0","0","0","0","1","301.76","","714.0","","2"
"_0002_","OK","28.139587999999947","0.06033524726521864","316.8785","651.528","1.3029999999999973","21.596000000000004","45.798","317.53","316.227","662.326","640.73","0","21.760000000000105","21.760000000000105","21.760000000000105","22.5216","0","0","0","0","1","0","0","22.899","0","0","0","0","0","2","_68d42f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_68d42f8bfe5c0000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","21.760000000000105","1","21.760000000000105","21.760000000000105","21.760000000000105","319.7","640.56","319.7","640.56","0","0","0","1","319.7","","640.56","","2"
"_0003_","OK","33.04152800000217","0.0034575882809910878","345.881","515.528","0.3380000000000223","97.75599999999997","196.188","346.05","345.712","564.406","466.65","0","103.89999999999998","103.89999999999998","103.89999999999998","22.5216","0","0","0","0","1","0","0","98.094","0","0","0","0","0","2","_e0d42f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_e0d42f8bfe5c0000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","103.89999999999998","1","103.89999999999998","103.89999999999998","103.89999999999998","348.22","466.48","348.22","466.48","0","0","0","1","348.22","","466.48","","2"
"_0004_","OK","101.21911199999893","0.003346443110447843","322.421","608.008","0.5819999999999936","173.91600000000005","348.9960000000001","322.712","322.13","694.966","521.05","0","179.14000000000004","179.14000000000004","179.14000000000004","22.5216","0","0","0","0","1","0","0","174.49800000000005","0","0","0","0","0","2","_58d52f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_58d52f8bfe5c0000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","179.14000000000004","1","179.14000000000004","179.14000000000004","179.14000000000004","324.3","520.88","324.3","520.88","0","0","0","1","324.3","","520.88","","2"
"_0005_","OK","4.349792000000136","0.5186464086606788","360.14099999999996","649.998","1.5020000000000095","2.896000000000072","8.796000000000163","360.892","359.39","651.446","648.55","0","6.860000000000014","6.860000000000014","6.860000000000014","22.5216","0","0","0","0","1","0","0","4.398000000000081","0","0","0","0","0","2","_d0d52f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_d0d52f8bfe5c0000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","6.860000000000014","1","6.860000000000014","6.860000000000014","6.860000000000014","361.56","648.72","361.56","648.72","0","0","0","1","361.56","","648.72","","2"
"_0006_","OK","29.13143400000039","0.2388843611121206","330.471","692.1514999999999","2.6380000000000337","11.043000000000006","27.36200000000008","331.79","329.152","697.673","686.63","0","19.159999999999968","19.159999999999968","19.159999999999968","22.5216","0","0","0","0","1","0","0","13.68100000000004","0","0","0","0","0","2","_48d62f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_48d62f8bfe5c0000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","19.159999999999968","1","19.159999999999968","19.159999999999968","19.159999999999968","333.96","686.8","333.96","686.8","0","0","0","1","333.96","","686.8","","2"
"_0007_","OK","160.3664879999996","0.15205074516097852","340.361","510.088","4.937999999999988","32.476","74.82799999999997","342.83","337.892","526.326","493.85","0","43.450000000000045","43.450000000000045","43.450000000000045","22.5216","0","0","0","0","1","0","0","37.41399999999999","0","0","0","0","0","2","_c0d62f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_c0d62f8bfe5c0000_p_odb__dbNet","0.0","21.270400000000002","0.0","21.270400000000002","21.270400000000002","","21.270400000000002","43.450000000000045","1","43.450000000000045","43.450000000000045","43.450000000000045","345.23","493.68","345.23","493.68","0","0","0","1","345.23","","493.68","","2"
"_0008_","OK","13.481985999999925","0.11738359614468473","328.40099999999995","550.7115","1.2579999999999814","10.717000000000098","23.95000000000016","329.03","327.772","556.07","545.353","0","18.00999999999999","18.00999999999999","18.00999999999999","22.5216","0","0","0","0","1","0","0","11.97500000000008","0","0","0","0","0","2","_38d72f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_38d72f8bfe5c0000_p_odb__dbNet","0.0","21.270400000000002","0.0","21.270400000000002","21.270400000000002","","21.270400000000002","18.00999999999999","1","18.00999999999999","18.00999999999999","18.00999999999999","331.43","556.24","331.43","556.24","1","0","0","0","331.43","","556.24","","2"
"_0009_","OK","14.780714000000042","0.4708192039138188","337.831","651.3515","2.637999999999977","5.6030000000000655","16.482000000000085","339.15","336.512","654.153","648.55","0","13.949999999999932","13.949999999999932","13.949999999999932","22.5216","0","0","0","0","1","0","0","8.241000000000042","0","0","0","0","0","2","_b0d72f8bfe5c0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_b0d72f8bfe5c0000_p_odb__dbNet","0.0","21.270400000000002","0.0","21.270400000000002","21.270400000000002","","21.270400000000002","13.949999999999932","1","13.949999999999932","13.949999999999932","13.949999999999932","341.55","648.72","341.55","648.72","0","0","0","1","341.55","","648.72","","2"
