idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_5793_/Q (sky130_fd_sc_hd__dfxtp_4)","_6422_/D (sky130_fd_sc_hd__dfxtp_4)","_5793_/Q","_6422_/D","_5793_/Q","_6422_/D","0.781",0.780739,39,OK
2,"_5932_/Q (sky130_fd_sc_hd__dfxtp_4)","_6421_/D (sky130_fd_sc_hd__dfxtp_4)","_5932_/Q","_6421_/D","_5932_/Q","_6421_/D","1.101",1.101482,37,OK
3,"_5823_/Q (sky130_fd_sc_hd__dfxtp_4)","_6442_/D (sky130_fd_sc_hd__dfxtp_4)","_5823_/Q","_6442_/D","_5823_/Q","_6442_/D","2.513",2.512801,24,OK
4,"_5795_/Q (sky130_fd_sc_hd__dfxtp_4)","_6420_/D (sky130_fd_sc_hd__dfxtp_4)","_5795_/Q","_6420_/D","_5795_/Q","_6420_/D","2.633",2.633376,25,OK
5,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5812_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5812_/D","_6427_/Q","_5812_/D","3.029",3.028860,6,OK
6,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5798_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5798_/D","_6427_/Q","_5798_/D","3.033",3.033154,6,OK
7,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5803_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5803_/D","_6427_/Q","_5803_/D","3.033",3.033037,6,OK
8,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5814_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5814_/D","_6427_/Q","_5814_/D","3.034",3.033636,6,OK
9,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5797_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5797_/D","_6427_/Q","_5797_/D","3.035",3.034598,6,OK
10,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5801_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5801_/D","_6427_/Q","_5801_/D","3.035",3.035348,6,OK
11,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5802_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5802_/D","_6427_/Q","_5802_/D","3.035",3.035231,6,OK
12,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5815_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5815_/D","_6427_/Q","_5815_/D","3.035",3.035333,6,OK
13,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5818_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5818_/D","_6427_/Q","_5818_/D","3.035",3.034526,6,OK
14,"_6324_/Q (sky130_fd_sc_hd__dfxtp_4)","_6396_/D (sky130_fd_sc_hd__dfxtp_4)","_6324_/Q","_6396_/D","_6324_/Q","_6396_/D","3.045",3.044894,8,OK
15,"_5918_/Q (sky130_fd_sc_hd__dfxtp_4)","_6407_/D (sky130_fd_sc_hd__dfxtp_4)","_5918_/Q","_6407_/D","_5918_/Q","_6407_/D","3.205",3.205063,21,OK
16,"_5591_/Q (sky130_fd_sc_hd__dfxtp_4)","_6426_/D (sky130_fd_sc_hd__dfxtp_4)","_5591_/Q","_6426_/D","_5591_/Q","_6426_/D","3.343",3.342644,23,OK
17,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5820_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5820_/D","_6427_/Q","_5820_/D","3.35",3.350337,5,OK
18,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5809_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5809_/D","_6427_/Q","_5809_/D","3.397",3.396599,5,OK
19,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5796_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5796_/D","_6427_/Q","_5796_/D","3.42",3.420132,5,OK
20,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5806_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5806_/D","_6427_/Q","_5806_/D","3.42",3.419712,5,OK
21,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5808_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5808_/D","_6427_/Q","_5808_/D","3.421",3.421026,5,OK
22,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5816_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5816_/D","_6427_/Q","_5816_/D","3.421",3.420996,5,OK
23,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5819_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5819_/D","_6427_/Q","_5819_/D","3.421",3.420692,5,OK
24,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5795_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5795_/D","_6427_/Q","_5795_/D","3.422",3.422181,5,OK
25,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5799_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5799_/D","_6427_/Q","_5799_/D","3.422",3.422023,5,OK
