Total paths: 3030
Negative slack paths: 0
Top 5.0% worst paths (count=152):
Startpoint	Endpoint	Slack
_5793_/Q (sky130_fd_sc_hd__dfxtp_4)	_6422_/D (sky130_fd_sc_hd__dfxtp_4)	0.781
_5932_/Q (sky130_fd_sc_hd__dfxtp_4)	_6421_/D (sky130_fd_sc_hd__dfxtp_4)	1.101
_5823_/Q (sky130_fd_sc_hd__dfxtp_4)	_6442_/D (sky130_fd_sc_hd__dfxtp_4)	2.513
_5795_/Q (sky130_fd_sc_hd__dfxtp_4)	_6420_/D (sky130_fd_sc_hd__dfxtp_4)	2.633
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5812_/D (sky130_fd_sc_hd__dfrtp_1)	3.029
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5798_/D (sky130_fd_sc_hd__dfrtp_1)	3.033
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5803_/D (sky130_fd_sc_hd__dfrtp_1)	3.033
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5814_/D (sky130_fd_sc_hd__dfrtp_1)	3.034
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5797_/D (sky130_fd_sc_hd__dfrtp_1)	3.035
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5801_/D (sky130_fd_sc_hd__dfrtp_1)	3.035
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5802_/D (sky130_fd_sc_hd__dfrtp_1)	3.035
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5815_/D (sky130_fd_sc_hd__dfrtp_1)	3.035
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5818_/D (sky130_fd_sc_hd__dfrtp_1)	3.035
_6324_/Q (sky130_fd_sc_hd__dfxtp_4)	_6396_/D (sky130_fd_sc_hd__dfxtp_4)	3.045
_5918_/Q (sky130_fd_sc_hd__dfxtp_4)	_6407_/D (sky130_fd_sc_hd__dfxtp_4)	3.205
_5591_/Q (sky130_fd_sc_hd__dfxtp_4)	_6426_/D (sky130_fd_sc_hd__dfxtp_4)	3.343
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5820_/D (sky130_fd_sc_hd__dfrtp_1)	3.35
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5809_/D (sky130_fd_sc_hd__dfrtp_1)	3.397
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5796_/D (sky130_fd_sc_hd__dfrtp_1)	3.42
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5806_/D (sky130_fd_sc_hd__dfrtp_1)	3.42
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5808_/D (sky130_fd_sc_hd__dfrtp_1)	3.421
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5816_/D (sky130_fd_sc_hd__dfrtp_1)	3.421
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5819_/D (sky130_fd_sc_hd__dfrtp_1)	3.421
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5795_/D (sky130_fd_sc_hd__dfrtp_1)	3.422
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5799_/D (sky130_fd_sc_hd__dfrtp_1)	3.422
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5800_/D (sky130_fd_sc_hd__dfrtp_1)	3.422
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5811_/D (sky130_fd_sc_hd__dfrtp_1)	3.422
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5813_/D (sky130_fd_sc_hd__dfrtp_1)	3.422
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5817_/D (sky130_fd_sc_hd__dfrtp_1)	3.422
_5972_/Q (sky130_fd_sc_hd__dfxtp_4)	_6402_/D (sky130_fd_sc_hd__dfxtp_4)	3.522
_5812_/Q (sky130_fd_sc_hd__dfxtp_4)	_6403_/D (sky130_fd_sc_hd__dfxtp_4)	3.785
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5804_/D (sky130_fd_sc_hd__dfrtp_1)	3.832
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5793_/D (sky130_fd_sc_hd__dfrtp_1)	3.833
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5794_/D (sky130_fd_sc_hd__dfrtp_1)	3.833
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5805_/D (sky130_fd_sc_hd__dfrtp_1)	3.835
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5810_/D (sky130_fd_sc_hd__dfrtp_1)	3.835
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5792_/D (sky130_fd_sc_hd__dfrtp_1)	3.836
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5807_/D (sky130_fd_sc_hd__dfrtp_1)	3.836
_5892_/Q (sky130_fd_sc_hd__dfxtp_4)	_6397_/D (sky130_fd_sc_hd__dfxtp_4)	3.844
_5927_/Q (sky130_fd_sc_hd__dfxtp_4)	_6416_/D (sky130_fd_sc_hd__dfxtp_4)	3.849
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6072_/D (sky130_fd_sc_hd__dfxtp_1)	3.855
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6134_/D (sky130_fd_sc_hd__dfxtp_1)	3.961
_5899_/Q (sky130_fd_sc_hd__dfxtp_4)	_6404_/D (sky130_fd_sc_hd__dfxtp_4)	4.039
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6151_/D (sky130_fd_sc_hd__dfxtp_1)	4.064
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6040_/D (sky130_fd_sc_hd__dfxtp_1)	4.094
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6125_/D (sky130_fd_sc_hd__dfxtp_1)	4.126
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6153_/D (sky130_fd_sc_hd__dfxtp_1)	4.135
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6124_/D (sky130_fd_sc_hd__dfxtp_1)	4.148
_5524_/Q (sky130_fd_sc_hd__dfxtp_1)	_6039_/D (sky130_fd_sc_hd__dfxtp_1)	4.17
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6132_/D (sky130_fd_sc_hd__dfxtp_1)	4.173
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6123_/D (sky130_fd_sc_hd__dfxtp_1)	4.187
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6084_/D (sky130_fd_sc_hd__dfxtp_1)	4.201
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6073_/D (sky130_fd_sc_hd__dfxtp_1)	4.233
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6086_/D (sky130_fd_sc_hd__dfxtp_1)	4.249
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6121_/D (sky130_fd_sc_hd__dfxtp_1)	4.25
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6127_/D (sky130_fd_sc_hd__dfxtp_1)	4.269
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6126_/D (sky130_fd_sc_hd__dfxtp_1)	4.286
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6130_/D (sky130_fd_sc_hd__dfxtp_1)	4.288
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6082_/D (sky130_fd_sc_hd__dfxtp_1)	4.298
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6083_/D (sky130_fd_sc_hd__dfxtp_1)	4.298
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6133_/D (sky130_fd_sc_hd__dfxtp_1)	4.299
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6128_/D (sky130_fd_sc_hd__dfxtp_1)	4.302
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6143_/D (sky130_fd_sc_hd__dfxtp_1)	4.303
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6157_/D (sky130_fd_sc_hd__dfxtp_1)	4.314
