idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_5793_/Q (sky130_fd_sc_hd__dfxtp_4)","_6422_/D (sky130_fd_sc_hd__dfxtp_4)","_5793_/Q","_6422_/D","_5793_/Q","_6422_/D","0.075",0.074594,39,OK
2,"_5847_/Q (sky130_fd_sc_hd__dfxtp_4)","_6421_/D (sky130_fd_sc_hd__dfxtp_4)","_5847_/Q","_6421_/D","_5847_/Q","_6421_/D","0.544",0.544221,37,OK
3,"_5823_/Q (sky130_fd_sc_hd__dfxtp_4)","_6442_/D (sky130_fd_sc_hd__dfxtp_4)","_5823_/Q","_6442_/D","_5823_/Q","_6442_/D","2.128",2.128314,24,OK
4,"_6324_/Q (sky130_fd_sc_hd__dfxtp_4)","_6396_/D (sky130_fd_sc_hd__dfxtp_4)","_6324_/Q","_6396_/D","_6324_/Q","_6396_/D","2.201",2.200889,12,OK
5,"_5795_/Q (sky130_fd_sc_hd__dfxtp_4)","_6420_/D (sky130_fd_sc_hd__dfxtp_4)","_5795_/Q","_6420_/D","_5795_/Q","_6420_/D","2.27",2.269741,25,OK
6,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5797_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5797_/D","_6427_/Q","_5797_/D","2.793",2.792969,6,OK
7,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5815_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5815_/D","_6427_/Q","_5815_/D","2.869",2.869107,6,OK
8,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5802_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5802_/D","_6427_/Q","_5802_/D","2.872",2.872194,6,OK
9,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5818_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5818_/D","_6427_/Q","_5818_/D","2.872",2.872073,6,OK
10,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5814_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5814_/D","_6427_/Q","_5814_/D","2.874",2.873768,6,OK
11,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5801_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5801_/D","_6427_/Q","_5801_/D","2.886",2.886098,6,OK
12,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5812_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5812_/D","_6427_/Q","_5812_/D","2.892",2.891632,6,OK
13,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5803_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5803_/D","_6427_/Q","_5803_/D","2.897",2.896799,6,OK
14,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5798_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5798_/D","_6427_/Q","_5798_/D","2.9",2.899956,6,OK
15,"_5591_/Q (sky130_fd_sc_hd__dfxtp_4)","_6426_/D (sky130_fd_sc_hd__dfxtp_4)","_5591_/Q","_6426_/D","_5591_/Q","_6426_/D","2.968",2.967896,23,OK
16,"_5918_/Q (sky130_fd_sc_hd__dfxtp_4)","_6407_/D (sky130_fd_sc_hd__dfxtp_4)","_5918_/Q","_6407_/D","_5918_/Q","_6407_/D","3.032",3.031934,21,OK
17,"_5972_/Q (sky130_fd_sc_hd__dfxtp_4)","_6402_/D (sky130_fd_sc_hd__dfxtp_4)","_5972_/Q","_6402_/D","_5972_/Q","_6402_/D","3.193",3.192951,21,OK
18,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5820_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5820_/D","_6427_/Q","_5820_/D","3.215",3.214515,5,OK
19,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5811_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5811_/D","_6427_/Q","_5811_/D","3.216",3.215645,5,OK
20,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5806_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5806_/D","_6427_/Q","_5806_/D","3.263",3.262938,5,OK
21,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5809_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5809_/D","_6427_/Q","_5809_/D","3.263",3.262618,5,OK
22,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5808_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5808_/D","_6427_/Q","_5808_/D","3.276",3.275839,5,OK
23,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5795_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5795_/D","_6427_/Q","_5795_/D","3.278",3.277987,5,OK
24,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5816_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5816_/D","_6427_/Q","_5816_/D","3.29",3.289986,5,OK
25,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5819_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5819_/D","_6427_/Q","_5819_/D","3.29",3.289741,5,OK
26,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5796_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5796_/D","_6427_/Q","_5796_/D","3.293",3.292720,5,OK
27,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5817_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5817_/D","_6427_/Q","_5817_/D","3.301",3.301039,5,OK
28,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5813_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5813_/D","_6427_/Q","_5813_/D","3.333",3.333463,5,OK
29,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5799_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5799_/D","_6427_/Q","_5799_/D","3.336",3.336136,5,OK
30,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5800_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5800_/D","_6427_/Q","_5800_/D","3.34",3.340155,5,OK
31,"_5892_/Q (sky130_fd_sc_hd__dfxtp_4)","_6397_/D (sky130_fd_sc_hd__dfxtp_4)","_5892_/Q","_6397_/D","_5892_/Q","_6397_/D","3.469",3.468780,19,OK
32,"_5812_/Q (sky130_fd_sc_hd__dfxtp_4)","_6403_/D (sky130_fd_sc_hd__dfxtp_4)","_5812_/Q","_6403_/D","_5812_/Q","_6403_/D","3.494",3.493817,17,OK
33,"_5927_/Q (sky130_fd_sc_hd__dfxtp_4)","_6416_/D (sky130_fd_sc_hd__dfxtp_4)","_5927_/Q","_6416_/D","_5927_/Q","_6416_/D","3.507",3.507374,20,OK
34,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5794_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5794_/D","_6427_/Q","_5794_/D","3.68",3.679586,4,OK
35,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5793_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5793_/D","_6427_/Q","_5793_/D","3.687",3.687043,4,OK
36,"_5520_/Q (sky130_fd_sc_hd__dfxtp_1)","_6072_/D (sky130_fd_sc_hd__dfxtp_1)","_5520_/Q","_6072_/D","_5520_/Q","_6072_/D","3.692",3.691603,11,OK
37,"_5899_/Q (sky130_fd_sc_hd__dfxtp_4)","_6404_/D (sky130_fd_sc_hd__dfxtp_4)","_5899_/Q","_6404_/D","_5899_/Q","_6404_/D","3.717",3.716799,16,OK
38,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5792_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5792_/D","_6427_/Q","_5792_/D","3.727",3.726997,4,OK
39,"_5810_/Q (sky130_fd_sc_hd__dfxtp_4)","_6405_/D (sky130_fd_sc_hd__dfxtp_4)","_5810_/Q","_6405_/D","_5810_/Q","_6405_/D","3.739",3.739037,17,OK
40,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5804_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5804_/D","_6427_/Q","_5804_/D","3.748",3.747506,4,OK
41,"_6427_/Q (sky130_fd_sc_hd__dfrtp_1)","_5805_/D (sky130_fd_sc_hd__dfrtp_1)","_6427_/Q","_5805_/D","_6427_/Q","_5805_/D","3.752",3.751515,4,OK
