Total paths: 3030
Negative slack paths: 0
Top 5.0% worst paths (count=152):
Startpoint	Endpoint	Slack
_5793_/Q (sky130_fd_sc_hd__dfxtp_4)	_6422_/D (sky130_fd_sc_hd__dfxtp_4)	0.075
_5847_/Q (sky130_fd_sc_hd__dfxtp_4)	_6421_/D (sky130_fd_sc_hd__dfxtp_4)	0.544
_5823_/Q (sky130_fd_sc_hd__dfxtp_4)	_6442_/D (sky130_fd_sc_hd__dfxtp_4)	2.128
_6324_/Q (sky130_fd_sc_hd__dfxtp_4)	_6396_/D (sky130_fd_sc_hd__dfxtp_4)	2.201
_5795_/Q (sky130_fd_sc_hd__dfxtp_4)	_6420_/D (sky130_fd_sc_hd__dfxtp_4)	2.27
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5797_/D (sky130_fd_sc_hd__dfrtp_1)	2.793
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5815_/D (sky130_fd_sc_hd__dfrtp_1)	2.869
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5802_/D (sky130_fd_sc_hd__dfrtp_1)	2.872
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5818_/D (sky130_fd_sc_hd__dfrtp_1)	2.872
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5814_/D (sky130_fd_sc_hd__dfrtp_1)	2.874
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5801_/D (sky130_fd_sc_hd__dfrtp_1)	2.886
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5812_/D (sky130_fd_sc_hd__dfrtp_1)	2.892
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5803_/D (sky130_fd_sc_hd__dfrtp_1)	2.897
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5798_/D (sky130_fd_sc_hd__dfrtp_1)	2.9
_5591_/Q (sky130_fd_sc_hd__dfxtp_4)	_6426_/D (sky130_fd_sc_hd__dfxtp_4)	2.968
_5918_/Q (sky130_fd_sc_hd__dfxtp_4)	_6407_/D (sky130_fd_sc_hd__dfxtp_4)	3.032
_5972_/Q (sky130_fd_sc_hd__dfxtp_4)	_6402_/D (sky130_fd_sc_hd__dfxtp_4)	3.193
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5820_/D (sky130_fd_sc_hd__dfrtp_1)	3.215
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5811_/D (sky130_fd_sc_hd__dfrtp_1)	3.216
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5806_/D (sky130_fd_sc_hd__dfrtp_1)	3.263
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5809_/D (sky130_fd_sc_hd__dfrtp_1)	3.263
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5808_/D (sky130_fd_sc_hd__dfrtp_1)	3.276
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5795_/D (sky130_fd_sc_hd__dfrtp_1)	3.278
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5816_/D (sky130_fd_sc_hd__dfrtp_1)	3.29
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5819_/D (sky130_fd_sc_hd__dfrtp_1)	3.29
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5796_/D (sky130_fd_sc_hd__dfrtp_1)	3.293
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5817_/D (sky130_fd_sc_hd__dfrtp_1)	3.301
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5813_/D (sky130_fd_sc_hd__dfrtp_1)	3.333
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5799_/D (sky130_fd_sc_hd__dfrtp_1)	3.336
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5800_/D (sky130_fd_sc_hd__dfrtp_1)	3.34
_5892_/Q (sky130_fd_sc_hd__dfxtp_4)	_6397_/D (sky130_fd_sc_hd__dfxtp_4)	3.469
_5812_/Q (sky130_fd_sc_hd__dfxtp_4)	_6403_/D (sky130_fd_sc_hd__dfxtp_4)	3.494
_5927_/Q (sky130_fd_sc_hd__dfxtp_4)	_6416_/D (sky130_fd_sc_hd__dfxtp_4)	3.507
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5794_/D (sky130_fd_sc_hd__dfrtp_1)	3.68
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5793_/D (sky130_fd_sc_hd__dfrtp_1)	3.687
_5520_/Q (sky130_fd_sc_hd__dfxtp_1)	_6072_/D (sky130_fd_sc_hd__dfxtp_1)	3.692
_5899_/Q (sky130_fd_sc_hd__dfxtp_4)	_6404_/D (sky130_fd_sc_hd__dfxtp_4)	3.717
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5792_/D (sky130_fd_sc_hd__dfrtp_1)	3.727
_5810_/Q (sky130_fd_sc_hd__dfxtp_4)	_6405_/D (sky130_fd_sc_hd__dfxtp_4)	3.739
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5804_/D (sky130_fd_sc_hd__dfrtp_1)	3.748
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5805_/D (sky130_fd_sc_hd__dfrtp_1)	3.752
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5810_/D (sky130_fd_sc_hd__dfrtp_1)	3.785
_6427_/Q (sky130_fd_sc_hd__dfrtp_1)	_5807_/D (sky130_fd_sc_hd__dfrtp_1)	3.791
_5516_/Q (sky130_fd_sc_hd__dfxtp_1)	_6134_/D (sky130_fd_sc_hd__dfxtp_1)	3.818
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6153_/D (sky130_fd_sc_hd__dfxtp_1)	3.821
_5526_/Q (sky130_fd_sc_hd__dfxtp_1)	_6151_/D (sky130_fd_sc_hd__dfxtp_1)	3.823
_5894_/Q (sky130_fd_sc_hd__dfxtp_4)	_6399_/D (sky130_fd_sc_hd__dfxtp_4)	3.914
