Total paths: 433
Negative slack paths: 1
Top 5.0% worst paths (count=22):
Startpoint	Endpoint	Slack
_17857_/Q (sky130_fd_sc_hd__dfxtp_2) _17842_/D (sky130_fd_sc_hd__dfxtp_2)		-0.343
_17803_/Q (sky130_fd_sc_hd__dfxtp_2) _17864_/D (sky130_fd_sc_hd__dfxtp_2)		0.325
_17865_/Q (sky130_fd_sc_hd__dfxtp_2) _17850_/D (sky130_fd_sc_hd__dfxtp_2)		0.375
_17873_/Q (sky130_fd_sc_hd__dfxtp_1) _17797_/D (sky130_fd_sc_hd__dfxtp_1)		0.384
_17807_/Q (sky130_fd_sc_hd__dfxtp_2) _17900_/D (sky130_fd_sc_hd__dfxtp_2)		0.548
_17785_/Q (sky130_fd_sc_hd__dfxtp_2) _17881_/D (sky130_fd_sc_hd__dfxtp_2)		0.579
_17833_/Q (sky130_fd_sc_hd__dfxtp_4) _17831_/D (sky130_fd_sc_hd__dfxtp_4)		0.593
_17834_/Q (sky130_fd_sc_hd__dfxtp_2) _17829_/D (sky130_fd_sc_hd__dfxtp_2)		0.609
_17865_/Q (sky130_fd_sc_hd__dfxtp_2) _17786_/D (sky130_fd_sc_hd__dfxtp_2)		0.676
_17865_/Q (sky130_fd_sc_hd__dfxtp_2) _17851_/D (sky130_fd_sc_hd__dfxtp_2)		0.739
_17841_/Q (sky130_fd_sc_hd__dfxtp_2) _17803_/D (sky130_fd_sc_hd__dfxtp_2)		0.771
_17808_/Q (sky130_fd_sc_hd__dfxtp_2) _17874_/D (sky130_fd_sc_hd__dfxtp_2)		0.777
_17794_/Q (sky130_fd_sc_hd__dfxtp_2) _17889_/D (sky130_fd_sc_hd__dfxtp_2)		0.805
_17808_/Q (sky130_fd_sc_hd__dfxtp_2) _17876_/D (sky130_fd_sc_hd__dfxtp_2)		0.87
_17803_/Q (sky130_fd_sc_hd__dfxtp_2) _17835_/D (sky130_fd_sc_hd__dfxtp_2)		0.876
_17784_/Q (sky130_fd_sc_hd__dfxtp_2) _17854_/D (sky130_fd_sc_hd__dfxtp_2)		0.918
_17842_/Q (sky130_fd_sc_hd__dfxtp_2) _17806_/D (sky130_fd_sc_hd__dfxtp_2)		0.923
_17803_/Q (sky130_fd_sc_hd__dfxtp_2) _17867_/D (sky130_fd_sc_hd__dfxtp_2)		0.931
_17808_/Q (sky130_fd_sc_hd__dfxtp_1) _17872_/D (sky130_fd_sc_hd__dfxtp_1)		0.983
_17785_/Q (sky130_fd_sc_hd__dfxtp_2) _17886_/D (sky130_fd_sc_hd__dfxtp_2)		0.994
_17865_/Q (sky130_fd_sc_hd__dfxtp_2) _17822_/D (sky130_fd_sc_hd__dfxtp_2)		1.007
_17793_/Q (sky130_fd_sc_hd__dfxtp_4) _17826_/D (sky130_fd_sc_hd__dfxtp_4)		1.024
