idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_17803_/Q (sky130_fd_sc_hd__dfxtp_4)","_17871_/D (sky130_fd_sc_hd__dfxtp_4)","_17803_/Q","_17871_/D","_17803_/Q","_17871_/D","-1.847",-1.847443,37,OK
2,"_17815_/Q (sky130_fd_sc_hd__dfxtp_2)","_17907_/D (sky130_fd_sc_hd__dfxtp_2)","_17815_/Q","_17907_/D","_17815_/Q","_17907_/D","-0.455",-0.455335,25,OK
3,"_17803_/Q (sky130_fd_sc_hd__dfxtp_2)","_17868_/D (sky130_fd_sc_hd__dfxtp_2)","_17803_/Q","_17868_/D","_17803_/Q","_17868_/D","-0.395",-0.395220,24,OK
4,"_17785_/Q (sky130_fd_sc_hd__dfxtp_2)","_17880_/D (sky130_fd_sc_hd__dfxtp_2)","_17785_/Q","_17880_/D","_17785_/Q","_17880_/D","-0.289",-0.288987,20,OK
5,"_17803_/Q (sky130_fd_sc_hd__dfxtp_2)","_17835_/D (sky130_fd_sc_hd__dfxtp_2)","_17803_/Q","_17835_/D","_17803_/Q","_17835_/D","-0.192",-0.192104,22,OK
6,"_17866_/Q (sky130_fd_sc_hd__dfxtp_2)","_17854_/D (sky130_fd_sc_hd__dfxtp_2)","_17866_/Q","_17854_/D","_17866_/Q","_17854_/D","0.181",0.180638,21,OK
7,"_17658_/Q (sky130_fd_sc_hd__dfxtp_1)","_17773_/D (sky130_fd_sc_hd__dfxtp_1)","_17658_/Q","_17773_/D","_17658_/Q","_17773_/D","0.192",0.192212,25,OK
8,"_17811_/Q (sky130_fd_sc_hd__dfxtp_2)","_17840_/D (sky130_fd_sc_hd__dfxtp_2)","_17811_/Q","_17840_/D","_17811_/Q","_17840_/D","0.235",0.234964,19,OK
9,"_17815_/Q (sky130_fd_sc_hd__dfxtp_2)","_17905_/D (sky130_fd_sc_hd__dfxtp_2)","_17815_/Q","_17905_/D","_17815_/Q","_17905_/D","0.254",0.254014,19,OK
10,"_17793_/Q (sky130_fd_sc_hd__dfxtp_2)","_17892_/D (sky130_fd_sc_hd__dfxtp_2)","_17793_/Q","_17892_/D","_17793_/Q","_17892_/D","0.28",0.279973,22,OK
11,"_17793_/Q (sky130_fd_sc_hd__dfxtp_2)","_17894_/D (sky130_fd_sc_hd__dfxtp_2)","_17793_/Q","_17894_/D","_17793_/Q","_17894_/D","0.339",0.339211,20,OK
12,"_17809_/Q (sky130_fd_sc_hd__dfxtp_2)","_17808_/D (sky130_fd_sc_hd__dfxtp_2)","_17809_/Q","_17808_/D","_17809_/Q","_17808_/D","0.379",0.378620,21,OK
13,"_17847_/Q (sky130_fd_sc_hd__dfxtp_2)","_17801_/D (sky130_fd_sc_hd__dfxtp_2)","_17847_/Q","_17801_/D","_17847_/Q","_17801_/D","0.381",0.381346,19,OK
14,"_17879_/Q (sky130_fd_sc_hd__dfxtp_2)","_17858_/D (sky130_fd_sc_hd__dfxtp_2)","_17879_/Q","_17858_/D","_17879_/Q","_17858_/D","0.4",0.399930,18,OK
15,"_17800_/Q (sky130_fd_sc_hd__dfxtp_2)","_17864_/D (sky130_fd_sc_hd__dfxtp_2)","_17800_/Q","_17864_/D","_17800_/Q","_17864_/D","0.414",0.414491,22,OK
16,"_17785_/Q (sky130_fd_sc_hd__dfxtp_2)","_17820_/D (sky130_fd_sc_hd__dfxtp_2)","_17785_/Q","_17820_/D","_17785_/Q","_17820_/D","0.43",0.429658,22,OK
17,"_17785_/Q (sky130_fd_sc_hd__dfxtp_2)","_17885_/D (sky130_fd_sc_hd__dfxtp_2)","_17785_/Q","_17885_/D","_17785_/Q","_17885_/D","0.46",0.460469,20,OK
18,"_17803_/Q (sky130_fd_sc_hd__dfxtp_2)","_17833_/D (sky130_fd_sc_hd__dfxtp_2)","_17803_/Q","_17833_/D","_17803_/Q","_17833_/D","0.463",0.463373,19,OK
19,"_17803_/Q (sky130_fd_sc_hd__dfxtp_4)","_17839_/D (sky130_fd_sc_hd__dfxtp_4)","_17803_/Q","_17839_/D","_17803_/Q","_17839_/D","0.467",0.467089,16,OK
20,"_17841_/Q (sky130_fd_sc_hd__dfxtp_2)","_17900_/D (sky130_fd_sc_hd__dfxtp_2)","_17841_/Q","_17900_/D","_17841_/Q","_17900_/D","0.469",0.468931,19,OK
21,"_17811_/Q (sky130_fd_sc_hd__dfxtp_2)","_17846_/D (sky130_fd_sc_hd__dfxtp_2)","_17811_/Q","_17846_/D","_17811_/Q","_17846_/D","0.477",0.477423,19,OK
22,"_17803_/Q (sky130_fd_sc_hd__dfxtp_2)","_17832_/D (sky130_fd_sc_hd__dfxtp_2)","_17803_/Q","_17832_/D","_17803_/Q","_17832_/D","0.499",0.499312,18,OK
