net_name,label
_00000_,0
_00001_,0
_00002_,0
_00003_,0
_00004_,0
_00005_,0
_00006_,0
_00007_,0
_00008_,0
_00009_,0
_00010_,0
_00011_,0
_00012_,0
_00013_,0
_00014_,0
_00015_,0
_00016_,0
_00017_,0
_00018_,0
_00019_,0
_00020_,0
_00021_,1
_00022_,0
_00023_,0
_00024_,0
_00025_,0
_00026_,0
_00027_,0
_00028_,0
_00029_,0
_00030_,0
_00031_,0
_00032_,0
_00033_,0
_00034_,0
_00035_,0
_00036_,0
_00037_,0
_00038_,0
_00039_,0
_00040_,0
_00041_,0
_00042_,0
_00043_,0
_00044_,0
_00045_,0
_00046_,0
_00047_,0
_00048_,0
_00049_,1
_00050_,0
_00051_,0
_00052_,0
_00053_,0
_00054_,0
_00055_,0
_00056_,1
_00057_,0
_00058_,0
_00059_,0
_00060_,0
_00061_,0
_00062_,0
_00063_,0
_00064_,0
_00065_,0
_00066_,0
_00067_,0
_00068_,1
_00069_,0
_00070_,0
_00071_,0
_00072_,0
_00073_,0
_00074_,0
_00075_,0
_00076_,0
_00077_,0
_00078_,0
_00079_,0
_00080_,1
_00081_,1
_00082_,0
_00083_,1
_00084_,0
_00085_,0
_00086_,1
_00087_,1
_00088_,1
_00089_,0
_00090_,1
_00091_,0
_00092_,1
_00093_,1
_00094_,1
_00095_,0
_00096_,0
_00097_,0
_00098_,0
_00099_,0
_00100_,0
_00101_,0
_00102_,1
_00103_,0
_00104_,0
_00105_,0
_00106_,1
_00107_,0
_00108_,0
_00109_,0
_00110_,0
_00111_,0
_00112_,1
_00113_,0
_00114_,0
_00115_,0
_00116_,1
_00117_,0
_00118_,0
_00119_,1
_00120_,0
_00121_,0
_00122_,0
_00123_,0
_00124_,0
_00125_,0
_00126_,0
_00127_,0
_00128_,1
_00129_,1
_00130_,0
_00131_,0
_00132_,0
_00133_,1
_00134_,0
_00135_,0
_00136_,0
_00137_,0
_00138_,0
_00139_,0
_00140_,1
_00141_,0
_00142_,1
_00143_,0
_00144_,0
_00145_,0
_00146_,0
_00147_,0
_00148_,1
_00149_,0
_00150_,0
_00151_,0
_00152_,0
_00153_,1
_00154_,0
_00155_,1
_00156_,0
_00157_,0
_00158_,0
_00159_,0
_00160_,0
_00161_,0
_00162_,0
_00163_,0
_00164_,0
