Total paths: 433
Negative slack paths: 5
Top 5.0% worst paths (count=22):
Startpoint	Endpoint	Slack
_17803_/Q (sky130_fd_sc_hd__dfxtp_4) _17871_/D (sky130_fd_sc_hd__dfxtp_4)		-1.847
_17815_/Q (sky130_fd_sc_hd__dfxtp_2) _17907_/D (sky130_fd_sc_hd__dfxtp_2)		-0.455
_17803_/Q (sky130_fd_sc_hd__dfxtp_2) _17868_/D (sky130_fd_sc_hd__dfxtp_2)		-0.395
_17785_/Q (sky130_fd_sc_hd__dfxtp_2) _17880_/D (sky130_fd_sc_hd__dfxtp_2)		-0.289
_17803_/Q (sky130_fd_sc_hd__dfxtp_2) _17835_/D (sky130_fd_sc_hd__dfxtp_2)		-0.192
_17866_/Q (sky130_fd_sc_hd__dfxtp_2) _17854_/D (sky130_fd_sc_hd__dfxtp_2)		0.181
_17658_/Q (sky130_fd_sc_hd__dfxtp_1) _17773_/D (sky130_fd_sc_hd__dfxtp_1)		0.192
_17811_/Q (sky130_fd_sc_hd__dfxtp_2) _17840_/D (sky130_fd_sc_hd__dfxtp_2)		0.235
_17815_/Q (sky130_fd_sc_hd__dfxtp_2) _17905_/D (sky130_fd_sc_hd__dfxtp_2)		0.254
_17793_/Q (sky130_fd_sc_hd__dfxtp_2) _17892_/D (sky130_fd_sc_hd__dfxtp_2)		0.28
_17793_/Q (sky130_fd_sc_hd__dfxtp_2) _17894_/D (sky130_fd_sc_hd__dfxtp_2)		0.339
_17809_/Q (sky130_fd_sc_hd__dfxtp_2) _17808_/D (sky130_fd_sc_hd__dfxtp_2)		0.379
_17847_/Q (sky130_fd_sc_hd__dfxtp_2) _17801_/D (sky130_fd_sc_hd__dfxtp_2)		0.381
_17879_/Q (sky130_fd_sc_hd__dfxtp_2) _17858_/D (sky130_fd_sc_hd__dfxtp_2)		0.4
_17800_/Q (sky130_fd_sc_hd__dfxtp_2) _17864_/D (sky130_fd_sc_hd__dfxtp_2)		0.414
_17785_/Q (sky130_fd_sc_hd__dfxtp_2) _17820_/D (sky130_fd_sc_hd__dfxtp_2)		0.43
_17785_/Q (sky130_fd_sc_hd__dfxtp_2) _17885_/D (sky130_fd_sc_hd__dfxtp_2)		0.46
_17803_/Q (sky130_fd_sc_hd__dfxtp_2) _17833_/D (sky130_fd_sc_hd__dfxtp_2)		0.463
_17803_/Q (sky130_fd_sc_hd__dfxtp_4) _17839_/D (sky130_fd_sc_hd__dfxtp_4)		0.467
_17841_/Q (sky130_fd_sc_hd__dfxtp_2) _17900_/D (sky130_fd_sc_hd__dfxtp_2)		0.469
_17811_/Q (sky130_fd_sc_hd__dfxtp_2) _17846_/D (sky130_fd_sc_hd__dfxtp_2)		0.477
_17803_/Q (sky130_fd_sc_hd__dfxtp_2) _17832_/D (sky130_fd_sc_hd__dfxtp_2)		0.499
