net_name,label
_0000_,0
_0001_,0
_0002_,0
_0003_,0
_0004_,0
_0005_,0
_0006_,0
_0007_,0
_0008_,0
_0009_,0
_0010_,0
_0011_,0
_0012_,0
_0013_,0
_0014_,0
_0015_,0
_0016_,0
_0017_,0
_0018_,0
_0019_,0
_0020_,0
_0021_,0
_0022_,0
_0023_,0
_0024_,0
_0025_,0
_0026_,0
_0027_,0
_0028_,0
_0029_,0
_0030_,0
_0031_,0
_0032_,0
_0033_,0
_0034_,0
_0035_,0
_0036_,0
_0037_,0
_0038_,0
_0039_,0
_0040_,0
_0041_,0
_0042_,0
_0043_,0
_0044_,0
_0045_,0
_0046_,1
_0047_,1
_0048_,0
_0049_,0
_0050_,0
_0051_,0
_0052_,0
_0053_,1
_0054_,0
_0055_,1
_0056_,0
_0057_,0
_0058_,1
_0059_,1
_0060_,1
_0061_,0
_0062_,0
_0063_,0
_0064_,0
_0065_,0
_0066_,0
_0067_,0
_0068_,0
_0069_,0
_0070_,0
_0071_,0
_0072_,0
_0073_,0
_0074_,0
_0075_,0
_0076_,0
_0077_,0
_0078_,0
_0079_,0
_0080_,0
_0081_,0
_0082_,0
_0083_,0
_0084_,0
_0085_,0
_0086_,0
_0087_,0
_0088_,0
_0089_,0
_0090_,0
_0091_,0
_0092_,0
_0093_,0
_0094_,0
_0095_,0
_0096_,0
_0097_,0
_0098_,0
_0099_,0
_0100_,0
_0101_,0
_0102_,0
_0103_,0
_0104_,0
_0105_,0
_0106_,0
_0107_,0
_0108_,0
_0109_,0
_0110_,0
_0111_,0
_0112_,0
_0113_,0
_0114_,0
_0115_,0
_0116_,0
_0117_,0
_0118_,0
_0119_,0
_0120_,0
_0121_,0
_0122_,0
_0123_,0
_0124_,0
_0125_,0
_0126_,0
_0127_,0
_0128_,0
_0129_,0
_0130_,0
_0131_,0
_0132_,0
_0133_,0
_0134_,0
_0135_,0
_0136_,0
_0137_,0
_0138_,0
_0139_,0
_0140_,0
_0141_,0
_0142_,0
_0143_,0
_0144_,0
_0145_,0
_0146_,0
_0147_,0
_0148_,0
_0149_,0
_0150_,0
_0151_,0
_0152_,0
_0153_,0
_0154_,0
_0155_,0
_0156_,0
_0157_,0
_0158_,0
_0159_,0
_0160_,0
_0161_,0
_0162_,0
_0163_,0
_0164_,0
_0165_,0
_0166_,0
_0167_,0
_0168_,0
_0169_,0
_0170_,0
_0171_,0
_0172_,0
_0173_,0
_0174_,0
_0175_,0
_0176_,0
_0177_,0
_0178_,0
_0179_,0
_0180_,0
_0181_,0
_0182_,0
_0183_,0
_0184_,0
_0185_,0
_0186_,1
_0187_,0
_0188_,0
_0189_,0
_0190_,0
_0191_,0
_0192_,0
_0193_,0
_0194_,0
_0195_,0
_0196_,0
_0197_,0
_0198_,0
_0199_,0
_0200_,0
_0201_,0
_0202_,0
_0203_,0
_0204_,0
_0205_,0
_0206_,0
_0207_,0
_0208_,0
_0209_,0
_0210_,0
_0211_,1
_0212_,0
_0213_,0
_0214_,0
_0215_,0
_0216_,0
_0217_,0
_0218_,0
_0219_,0
_0220_,0
_0221_,0
_0222_,0
_0223_,0
_0224_,0
_0225_,0
_0226_,0
_0227_,0
_0228_,0
_0229_,0
_0230_,0
_0231_,0
_0232_,0
_0233_,0
_0234_,0
_0235_,0
_0236_,0
_0237_,0
_0238_,0
_0239_,0
_0240_,0
_0241_,0
_0242_,0
_0243_,0
_0244_,0
_0245_,0
_0246_,0
_0247_,0
_0248_,0
_0249_,0
_0250_,0
_0251_,0
_0252_,0
_0253_,0
_0254_,0
_0255_,0
_0256_,0
_0257_,0
_0258_,0
_0259_,0
_0260_,0
_0261_,0
_0262_,0
_0263_,0
_0264_,0
_0265_,0
_0266_,0
_0267_,0
_0268_,0
_0269_,0
_0270_,0
_0271_,0
_0272_,0
_0273_,0
_0274_,0
_0275_,0
_0276_,0
_0277_,0
_0278_,0
_0279_,0
_0280_,0
_0281_,0
_0282_,0
_0283_,0
_0284_,0
_0285_,1
_0286_,0
_0287_,0
_0288_,0
_0289_,0
_0290_,0
_0291_,0
_0292_,0
_0293_,0
_0294_,0
_0295_,0
_0296_,0
_0297_,0
_0298_,0
_0299_,0
_0300_,0
_0301_,0
_0302_,0
_0303_,0
_0304_,0
_0305_,0
_0306_,0
_0307_,0
_0308_,0
_0309_,0
_0310_,0
_0311_,0
_0312_,0
_0313_,0
_0314_,0
_0315_,0
_0316_,0
_0317_,0
_0318_,0
_0319_,0
_0320_,0
_0321_,0
_0322_,0
_0323_,0
_0324_,0
_0325_,0
_0326_,0
_0327_,0
_0328_,0
_0329_,0
_0330_,0
_0331_,0
_0332_,0
_0333_,0
_0334_,0
_0335_,0
_0336_,0
_0337_,0
_0338_,0
_0339_,0
_0340_,0
_0341_,0
_0342_,0
_0343_,0
_0344_,0
_0345_,0
_0346_,1
_0347_,0
_0348_,0
_0349_,0
_0350_,0
_0351_,0
_0352_,0
_0353_,1
_0354_,1
_0355_,0
_0356_,0
_0357_,0
_0358_,0
_0359_,0
_0360_,0
_0361_,0
_0362_,0
_0363_,0
_0364_,0
_0365_,0
_0366_,0
_0367_,0
_0368_,0
_0369_,0
_0370_,0
_0371_,0
_0372_,0
_0373_,0
_0374_,0
_0375_,0
_0376_,0
_0377_,0
_0378_,0
_0379_,0
_0380_,0
_0381_,0
_0382_,0
_0383_,0
_0384_,0
_0385_,0
_0386_,0
_0387_,0
_0388_,0
_0389_,0
_0390_,0
_0391_,0
_0392_,0
_0393_,0
_0394_,0
_0395_,0
_0396_,0
_0397_,0
_0398_,0
_0399_,0
_0400_,0
_0401_,0
_0402_,0
_0403_,0
_0404_,0
_0405_,0
_0406_,0
_0407_,0
_0408_,0
_0409_,0
_0410_,0
_0411_,0
_0412_,0
_0413_,0
_0414_,0
_0415_,0
_0416_,0
_0417_,0
_0418_,0
_0419_,0
_0420_,0
_0421_,0
_0422_,0
_0423_,0
_0424_,0
_0425_,0
_0426_,0
_0427_,0
_0428_,0
_0429_,0
_0430_,0
_0431_,0
_0432_,0
_0433_,0
_0434_,0
_0435_,0
_0436_,0
_0437_,0
_0438_,0
_0439_,0
_0440_,0
_0441_,0
_0442_,0
_0443_,0
_0444_,0
_0445_,0
_0446_,0
_0447_,0
_0448_,0
_0449_,0
_0450_,0
_0451_,0
_0452_,0
_0453_,0
_0454_,0
_0455_,0
_0456_,0
_0457_,0
_0458_,0
_0459_,0
_0460_,0
_0461_,0
_0462_,0
_0463_,0
_0464_,0
_0465_,0
_0466_,0
_0467_,0
_0468_,0
_0469_,0
_0470_,0
_0471_,0
_0472_,0
_0473_,0
_0474_,0
_0475_,0
_0476_,0
_0477_,0
_0478_,0
_0479_,0
_0480_,0
_0481_,0
_0482_,0
_0483_,0
_0484_,0
_0485_,0
_0486_,0
_0487_,0
_0488_,0
_0489_,0
_0490_,0
_0491_,0
_0492_,0
_0493_,0
_0494_,0
ack,0
al,0
arst_i,0
byte_controller.ack_out,0
byte_controller.bit_controller.al,0
byte_controller.bit_controller.busy,0
byte_controller.bit_controller.c_state[0],0
byte_controller.bit_controller.c_state[10],0
byte_controller.bit_controller.c_state[11],0
byte_controller.bit_controller.c_state[12],0
byte_controller.bit_controller.c_state[13],0
byte_controller.bit_controller.c_state[14],0
byte_controller.bit_controller.c_state[15],0
byte_controller.bit_controller.c_state[16],0
byte_controller.bit_controller.c_state[1],0
byte_controller.bit_controller.c_state[2],0
byte_controller.bit_controller.c_state[3],0
byte_controller.bit_controller.c_state[4],1
byte_controller.bit_controller.c_state[5],0
byte_controller.bit_controller.c_state[6],0
byte_controller.bit_controller.c_state[7],0
byte_controller.bit_controller.c_state[8],0
byte_controller.bit_controller.c_state[9],0
byte_controller.bit_controller.clk_cnt[0],0
byte_controller.bit_controller.clk_cnt[10],0
byte_controller.bit_controller.clk_cnt[11],0
byte_controller.bit_controller.clk_cnt[12],0
byte_controller.bit_controller.clk_cnt[13],0
byte_controller.bit_controller.clk_cnt[14],0
byte_controller.bit_controller.clk_cnt[15],0
byte_controller.bit_controller.clk_cnt[1],0
byte_controller.bit_controller.clk_cnt[2],0
byte_controller.bit_controller.clk_cnt[3],0
byte_controller.bit_controller.clk_cnt[4],0
byte_controller.bit_controller.clk_cnt[5],0
byte_controller.bit_controller.clk_cnt[6],0
byte_controller.bit_controller.clk_cnt[7],0
byte_controller.bit_controller.clk_cnt[8],0
byte_controller.bit_controller.clk_cnt[9],0
byte_controller.bit_controller.clk_en,0
byte_controller.bit_controller.cmd_ack,0
byte_controller.bit_controller.cmd_stop,0
byte_controller.bit_controller.cnt[0],0
byte_controller.bit_controller.cnt[10],0
byte_controller.bit_controller.cnt[11],0
byte_controller.bit_controller.cnt[12],0
byte_controller.bit_controller.cnt[13],0
byte_controller.bit_controller.cnt[14],0
byte_controller.bit_controller.cnt[15],0
byte_controller.bit_controller.cnt[1],0
byte_controller.bit_controller.cnt[2],0
byte_controller.bit_controller.cnt[3],0
byte_controller.bit_controller.cnt[4],0
byte_controller.bit_controller.cnt[5],0
byte_controller.bit_controller.cnt[6],0
byte_controller.bit_controller.cnt[7],0
byte_controller.bit_controller.cnt[8],0
byte_controller.bit_controller.cnt[9],0
byte_controller.bit_controller.dSCL,0
byte_controller.bit_controller.dSDA,0
byte_controller.bit_controller.din,0
byte_controller.bit_controller.dout,0
byte_controller.bit_controller.dscl_oen,0
byte_controller.bit_controller.ena,0
byte_controller.bit_controller.sSCL,0
byte_controller.bit_controller.sSDA,0
byte_controller.bit_controller.sda_chk,0
byte_controller.bit_controller.sta_condition,0
byte_controller.bit_controller.sto_condition,0
byte_controller.c_state[0],0
byte_controller.c_state[1],0
byte_controller.c_state[2],0
byte_controller.c_state[3],0
byte_controller.c_state[4],0
byte_controller.c_state[5],0
byte_controller.cmd_ack,0
byte_controller.core_cmd[1],0
byte_controller.core_cmd[2],0
byte_controller.core_cmd[3],0
byte_controller.core_cmd[4],0
byte_controller.dcnt[0],0
byte_controller.dcnt[1],0
byte_controller.dcnt[2],0
byte_controller.din[0],0
byte_controller.din[1],0
byte_controller.din[2],0
byte_controller.din[3],0
byte_controller.din[4],0
byte_controller.din[5],0
byte_controller.din[6],0
byte_controller.din[7],0
byte_controller.dout[0],0
byte_controller.dout[1],0
byte_controller.dout[2],0
byte_controller.dout[3],0
byte_controller.dout[4],0
byte_controller.dout[5],0
byte_controller.dout[6],0
byte_controller.dout[7],0
byte_controller.ld,0
byte_controller.read,0
byte_controller.shift,0
byte_controller.start,0
byte_controller.stop,0
byte_controller.write,0
cr[0],0
cr[1],0
cr[2],0
ctr[0],0
ctr[1],0
ctr[2],0
ctr[3],0
ctr[4],0
ctr[5],0
ctr[6],0
irq_flag,0
rxack,0
scl_pad_i,0
scl_padoen_o,0
sda_pad_i,0
sda_padoen_o,0
tip,0
wb_ack_o,0
