net_name,status,bbox_area,bbox_aspect,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_perimeter,bbox_xmax,bbox_xmin,bbox_ymax,bbox_ymin,bterm_count,dist_drv_sink_max,dist_drv_sink_mean,dist_drv_sink_sum,driver_inst_area,driver_is_buf,driver_is_clkbuf,driver_is_ff_q,driver_is_inv,fanout,has_bterm,has_multiple_drivers,hpwl,is_bus_bit,is_clock_like,is_enable_like,is_reg2reg_candidate,is_reset_like,iterm_count,net_dbid,num_buf_drivers,num_buf_sinks,num_clkbuf_drivers,num_drivers,num_ff_sinks_d,num_inout,num_inv_drivers,num_inv_sinks,num_port_drivers,num_port_sinks,num_sinks,odb_net,sink_area_buf_sum,sink_area_ff_sum,sink_area_inv_sum,sink_area_max,sink_area_mean,sink_area_std,sink_area_sum,sink_centroid_dist_to_driver,sink_cnt,sink_dist_p50,sink_dist_p90,sink_dist_p95,sink_max_x,sink_max_y,sink_min_x,sink_min_y,sink_quadrant_q1,sink_quadrant_q2,sink_quadrant_q3,sink_quadrant_q4,sink_x_mean,sink_x_std,sink_y_mean,sink_y_std,term_count
"_0000_","OK","527.9242050000005","0.14745550262977442","115.0085","230.0075","8.823000000000008","59.83500000000001","137.31600000000003","119.42","110.597","259.925","200.09","0","58.309999999999974","35.095","70.19","3.7536","0","0","0","1","2","0","0","68.65800000000002","0","0","0","0","0","3","_a89066b4f3560000_p_Net","0","1","0","1","0","0","1","0","0","0","2","_a89066b4f3560000_p_odb__dbNet","7.5072","0.0","0.0","7.5072","5.6304","1.8768","11.2608","25.744999999999962","2","11.880000000000024","58.309999999999974","58.309999999999974","120.52","259.76","110.17","199.92","1","0","1","0","115.345","5.174999999999997","229.83999999999997","29.92","3"
"_0001_","OK","456.2814520000011","0.15192876172125228","107.18","493.669","8.326000000000008","54.80200000000008","126.25600000000017","111.343","103.017","521.07","466.268","0","58.999999999999986","33.60666666666665","201.63999999999987","8.758400000000002","0","0","0","0","6","0","0","63.128000000000085","0","0","0","0","0","7","_209166b4f3560000_p_Net","0","4","0","1","0","0","0","0","0","0","6","_209166b4f3560000_p_odb__dbNet","15.0144","0.0","0.0","30.0288","12.512","12.386248064688516","75.072","33.606666666666655","6","24.14","58.999999999999986","58.999999999999986","110.63","520.88","103.27","474.64","1","1","3","1","106.94999999999999","2.225975441613556","495.94666666666666","17.445972473770425","7"
"_0002_","OK","298.21942500000023","0.23858011595987608","191.2595","383.7555","8.435000000000002","35.35500000000002","87.58000000000004","195.477","187.042","401.433","366.078","0","47.09","29.882500000000018","239.06000000000014","11.2608","0","0","0","0","8","0","0","43.79000000000002","0","0","0","0","0","9","_989166b4f3560000_p_Net","0","0","0","1","0","0","0","0","0","0","8","_989166b4f3560000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.028799999999997","3.552713678800501e-15","240.23039999999997","29.882499999999993","8","29.390000000000015","47.09","47.09","198.72","401.2","192.28","368.56","5","0","0","3","196.1325","2.5083448227865293","386.58","11.373495504900859","9"
"_0003_","OK","16.020799999999994","0.5413602940181326","40.8245","279.033","2.9450000000000003","5.439999999999998","16.769999999999996","42.297","39.352","281.753","276.313","0","9.810000000000002","7.16666666666666","21.49999999999998","6.256","0","0","0","0","3","0","0","8.384999999999998","0","0","0","0","0","4","_109266b4f3560000_p_Net","0","1","0","1","0","0","0","0","0","0","3","_109266b4f3560000_p_odb__dbNet","3.7536","0.0","0.0","30.0288","21.2704","12.386248064688518","63.8112","7.1666666666667","3","6.670000000000002","9.810000000000002","9.810000000000002","45.54","281.52","41.17","276.08","1","0","0","2","43.31666666666667","1.7848684981128307","278.79999999999995","2.220870700123414","4"
"_0004_","OK","56.341565000000216","0.46946599721866866","187.89049999999997","341.5555","5.143000000000001","10.955000000000041","32.19600000000008","190.462","185.319","347.033","336.078","0","13.180000000000007","13.180000000000007","13.180000000000007","5.0048","0","0","0","0","1","0","0","16.09800000000004","0","0","0","0","0","2","_889266b4f3560000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_889266b4f3560000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","13.180000000000007","1","13.180000000000007","13.180000000000007","13.180000000000007","187.22","346.8","187.22","346.8","0","1","0","0","187.22","","346.8","","2"
"_0005_","OK","0.7810579999999703","0.11369706214661941","101.32300000000001","149.38549999999998","0.2979999999999876","2.6210000000000093","5.837999999999994","101.472","101.174","150.696","148.075","0","3.6400000000000006","3.6400000000000006","3.6400000000000006","21.270400000000002","0","0","0","0","1","0","0","2.918999999999997","0","0","0","0","0","2","_009366b4f3560000_p_Net","0","1","0","1","0","0","0","0","0","0","1","_009366b4f3560000_p_odb__dbNet","11.2608","0.0","0.0","11.2608","11.2608","","11.2608","3.6400000000000006","1","3.6400000000000006","3.6400000000000006","3.6400000000000006","102.81","148.24","102.81","148.24","0","0","0","1","102.81","","148.24","","2"
"_0006_","OK","5.815319999999938","0.1681972788829581","93.9925","121.425","0.9889999999999901","5.8799999999999955","13.737999999999971","94.487","93.498","124.365","118.485","0","5.440000000000012","5.440000000000012","5.440000000000012","8.758400000000002","0","0","0","0","1","0","0","6.868999999999986","0","0","0","0","0","2","_789366b4f3560000_p_Net","0","1","0","1","0","0","0","0","0","0","1","_789366b4f3560000_p_odb__dbNet","11.2608","0.0","0.0","11.2608","11.2608","","11.2608","5.440000000000012","1","5.440000000000012","5.440000000000012","5.440000000000012","93.15","118.32","93.15","118.32","0","0","1","0","93.15","","118.32","","2"
"_0007_","OK","214.5157410000003","0.034972356643535187","92.6365","70.6045","2.7390000000000043","78.31899999999999","162.11599999999999","94.006","91.267","109.764","31.445","0","82.1","59.745","238.98","18.768","0","0","0","0","4","0","0","81.05799999999999","0","0","0","0","0","5","_f09366b4f3560000_p_Net","0","4","0","1","0","0","0","0","0","0","4","_f09366b4f3560000_p_odb__dbNet","22.5216","0.0","0.0","11.2608","5.6304","3.2507129556452687","22.5216","59.74499999999998","4","66.2","82.1","82.1","93.15","96.56","89.93","31.28","1","0","3","0","91.88500000000002","1.1895692497706885","51.68","26.406423460968735","5"
"_0008_","OK","0.054714000000002115","50.24242271992472","94.20599999999999","107.6465","1.6580000000000013","0.03300000000000125","3.382000000000005","95.035","93.377","107.663","107.63","0","2.0700000000000074","2.0700000000000074","2.0700000000000074","7.5072","0","0","0","0","1","0","0","1.6910000000000025","0","0","0","0","0","2","_689466b4f3560000_p_Net","0","1","0","1","0","0","0","0","0","0","1","_689466b4f3560000_p_odb__dbNet","3.7536","0.0","0.0","3.7536","3.7536","","3.7536","2.0700000000000074","1","2.0700000000000074","2.0700000000000074","2.0700000000000074","95.45","107.44","95.45","107.44","0","0","0","1","95.45","","107.44","","2"
"_0009_","OK","0.09466800000045197","657.4166118788096","55.5255","512.556","7.888999999999996","0.012000000000057298","15.802000000000106","59.47","51.581","512.562","512.55","0","9.660000000000004","9.660000000000004","9.660000000000004","5.0048","0","0","0","0","1","0","0","7.901000000000053","0","0","0","0","0","2","_e09466b4f3560000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_e09466b4f3560000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","9.660000000000004","1","9.660000000000004","9.660000000000004","9.660000000000004","61.64","512.72","61.64","512.72","1","0","0","0","61.64","","512.72","","2"
