idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_7465_/Q (sky130_fd_sc_hd__dfrtp_4)","_7465_/D (sky130_fd_sc_hd__dfrtp_4)","_7465_/Q","_7465_/D","_7465_/Q","_7465_/D","-3.602",-3.601602,20,OK
2,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7416_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7416_/D","_7467_/Q","_7416_/D","-2.649",-2.648552,27,OK
3,"_7467_/Q (sky130_fd_sc_hd__dfrtp_2)","_7470_/D (sky130_fd_sc_hd__dfrtp_2)","_7467_/Q","_7470_/D","_7467_/Q","_7470_/D","-2.558",-2.558130,25,OK
4,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7414_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7414_/D","_7467_/Q","_7414_/D","-2.554",-2.554327,25,OK
5,"_7467_/Q (sky130_fd_sc_hd__dfrtp_4)","_7450_/D (sky130_fd_sc_hd__dfrtp_4)","_7467_/Q","_7450_/D","_7467_/Q","_7450_/D","-2.504",-2.503889,24,OK
6,"_7467_/Q (sky130_fd_sc_hd__dfrtp_4)","_7466_/D (sky130_fd_sc_hd__dfrtp_4)","_7467_/Q","_7466_/D","_7467_/Q","_7466_/D","-2.494",-2.493963,25,OK
7,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7415_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7415_/D","_7467_/Q","_7415_/D","-2.48",-2.480021,27,OK
8,"_7467_/Q (sky130_fd_sc_hd__dfrtp_2)","_7469_/D (sky130_fd_sc_hd__dfrtp_2)","_7467_/Q","_7469_/D","_7467_/Q","_7469_/D","-2.48",-2.479630,25,OK
9,"_7467_/Q (sky130_fd_sc_hd__dfrtp_4)","_7467_/D (sky130_fd_sc_hd__dfrtp_4)","_7467_/Q","_7467_/D","_7467_/Q","_7467_/D","-2.418",-2.418483,23,OK
10,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_7425_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_7425_/D","_7467_/Q","_7425_/D","-2.272",-2.272310,22,OK
11,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7411_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7411_/D","_7467_/Q","_7411_/D","-2.238",-2.237516,26,OK
12,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7413_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7413_/D","_7467_/Q","_7413_/D","-2.187",-2.187108,24,OK
13,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6747_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6747_/D","_7467_/Q","_6747_/D","-2.18",-2.179793,24,OK
14,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6784_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6784_/D","_7467_/Q","_6784_/D","-2.18",-2.179791,24,OK
15,"_7466_/Q (sky130_fd_sc_hd__dfrtp_4)","_7468_/D (sky130_fd_sc_hd__dfrtp_4)","_7466_/Q","_7468_/D","_7466_/Q","_7468_/D","-2.173",-2.173307,29,OK
16,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6723_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6723_/D","_7467_/Q","_6723_/D","-2.167",-2.166743,25,OK
17,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6738_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6738_/D","_7467_/Q","_6738_/D","-2.127",-2.126519,24,OK
18,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6779_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6779_/D","_7467_/Q","_6779_/D","-2.127",-2.126649,24,OK
19,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6742_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6742_/D","_7467_/Q","_6742_/D","-2.123",-2.122984,24,OK
20,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6744_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6744_/D","_7467_/Q","_6744_/D","-2.123",-2.122976,24,OK
21,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6745_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6745_/D","_7467_/Q","_6745_/D","-2.123",-2.123471,24,OK
22,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7419_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7419_/D","_7467_/Q","_7419_/D","-2.123",-2.122790,27,OK
23,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7409_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7409_/D","_7467_/Q","_7409_/D","-2.121",-2.121300,27,OK
24,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6739_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6739_/D","_7467_/Q","_6739_/D","-2.119",-2.118862,24,OK
25,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6782_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6782_/D","_7467_/Q","_6782_/D","-2.119",-2.119175,24,OK
26,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6759_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6759_/D","_7467_/Q","_6759_/D","-2.118",-2.117663,24,OK
27,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7417_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7417_/D","_7467_/Q","_7417_/D","-2.118",-2.117949,27,OK
28,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6778_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6778_/D","_7467_/Q","_6778_/D","-2.117",-2.116842,24,OK
29,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6736_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6736_/D","_7467_/Q","_6736_/D","-2.116",-2.115571,24,OK
30,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6740_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6740_/D","_7467_/Q","_6740_/D","-2.114",-2.114137,24,OK
31,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6748_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6748_/D","_7467_/Q","_6748_/D","-2.114",-2.113916,24,OK
32,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6773_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6773_/D","_7467_/Q","_6773_/D","-2.114",-2.114100,24,OK
33,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6785_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6785_/D","_7467_/Q","_6785_/D","-2.114",-2.113967,24,OK
34,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6786_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6786_/D","_7467_/Q","_6786_/D","-2.114",-2.114464,24,OK
35,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6746_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6746_/D","_7467_/Q","_6746_/D","-2.113",-2.112560,24,OK
36,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6772_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6772_/D","_7467_/Q","_6772_/D","-2.113",-2.112813,24,OK
37,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6775_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6775_/D","_7467_/Q","_6775_/D","-2.113",-2.113441,24,OK
38,"_7467_/Q (sky130_fd_sc_hd__dfxtp_1)","_7418_/D (sky130_fd_sc_hd__dfxtp_1)","_7467_/Q","_7418_/D","_7467_/Q","_7418_/D","-2.111",-2.110546,27,OK
39,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6774_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6774_/D","_7467_/Q","_6774_/D","-2.11",-2.109935,24,OK
40,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6766_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6766_/D","_7467_/Q","_6766_/D","-2.108",-2.108290,24,OK
41,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6771_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6771_/D","_7467_/Q","_6771_/D","-2.108",-2.107648,24,OK
42,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6724_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6724_/D","_7467_/Q","_6724_/D","-2.107",-2.106792,24,OK
43,"_7467_/Q (sky130_fd_sc_hd__dfstp_2)","_6727_/D (sky130_fd_sc_hd__dfstp_2)","_7467_/Q","_6727_/D","_7467_/Q","_6727_/D","-2.107",-2.106959,24,OK
