Total paths: 1006
Negative slack paths: 304
Top 5.0% worst paths (count=51):
Startpoint	Endpoint	Slack
_7467_/Q (sky130_fd_sc_hd__dfrtp_4)	_7465_/D (sky130_fd_sc_hd__dfrtp_4)	-3.808
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_7426_/D (sky130_fd_sc_hd__dfrtp_1)	-2.688
_7467_/Q (sky130_fd_sc_hd__dfrtp_4)	_7450_/D (sky130_fd_sc_hd__dfrtp_4)	-2.505
_7467_/Q (sky130_fd_sc_hd__dfrtp_2)	_7470_/D (sky130_fd_sc_hd__dfrtp_2)	-2.421
_7467_/Q (sky130_fd_sc_hd__dfrtp_4)	_7467_/D (sky130_fd_sc_hd__dfrtp_4)	-2.377
_7467_/Q (sky130_fd_sc_hd__dfrtp_2)	_7469_/D (sky130_fd_sc_hd__dfrtp_2)	-2.328
_7467_/Q (sky130_fd_sc_hd__dfrtp_4)	_7466_/D (sky130_fd_sc_hd__dfrtp_4)	-2.236
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6737_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6742_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6744_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6746_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6749_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6772_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6774_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6783_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6784_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6785_/D (sky130_fd_sc_hd__dfstp_2)	-2.187
_7467_/Q (sky130_fd_sc_hd__dfxtp_1)	_7414_/D (sky130_fd_sc_hd__dfxtp_1)	-2.179
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6735_/D (sky130_fd_sc_hd__dfstp_2)	-2.156
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6745_/D (sky130_fd_sc_hd__dfstp_2)	-2.156
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6747_/D (sky130_fd_sc_hd__dfstp_2)	-2.155
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6779_/D (sky130_fd_sc_hd__dfstp_2)	-2.155
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6786_/D (sky130_fd_sc_hd__dfstp_2)	-2.151
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6748_/D (sky130_fd_sc_hd__dfstp_2)	-2.146
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6780_/D (sky130_fd_sc_hd__dfstp_2)	-2.14
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6782_/D (sky130_fd_sc_hd__dfstp_2)	-2.136
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6767_/D (sky130_fd_sc_hd__dfstp_2)	-2.135
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6781_/D (sky130_fd_sc_hd__dfstp_2)	-2.134
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6743_/D (sky130_fd_sc_hd__dfstp_2)	-2.133
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6766_/D (sky130_fd_sc_hd__dfstp_2)	-2.13
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6726_/D (sky130_fd_sc_hd__dfstp_2)	-2.123
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6729_/D (sky130_fd_sc_hd__dfstp_2)	-2.123
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6793_/D (sky130_fd_sc_hd__dfrtp_1)	-2.122
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6725_/D (sky130_fd_sc_hd__dfstp_2)	-2.121
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6727_/D (sky130_fd_sc_hd__dfstp_2)	-2.121
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6728_/D (sky130_fd_sc_hd__dfstp_2)	-2.121
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6762_/D (sky130_fd_sc_hd__dfstp_2)	-2.119
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6763_/D (sky130_fd_sc_hd__dfstp_2)	-2.119
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6730_/D (sky130_fd_sc_hd__dfstp_2)	-2.116
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6764_/D (sky130_fd_sc_hd__dfstp_2)	-2.113
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6765_/D (sky130_fd_sc_hd__dfstp_2)	-2.111
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6796_/D (sky130_fd_sc_hd__dfrtp_1)	-2.103
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6790_/D (sky130_fd_sc_hd__dfrtp_1)	-2.099
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6792_/D (sky130_fd_sc_hd__dfrtp_1)	-2.096
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6794_/D (sky130_fd_sc_hd__dfrtp_1)	-2.096
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6788_/D (sky130_fd_sc_hd__dfrtp_1)	-2.094
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6736_/D (sky130_fd_sc_hd__dfstp_2)	-2.093
_7467_/Q (sky130_fd_sc_hd__dfstp_2)	_6724_/D (sky130_fd_sc_hd__dfstp_2)	-2.091
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6751_/D (sky130_fd_sc_hd__dfrtp_1)	-2.09
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6754_/D (sky130_fd_sc_hd__dfrtp_1)	-2.09
_7467_/Q (sky130_fd_sc_hd__dfrtp_1)	_6750_/D (sky130_fd_sc_hd__dfrtp_1)	-2.088
