idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_7468_/Q (sky130_fd_sc_hd__dfrtp_4)","_7465_/D (sky130_fd_sc_hd__dfrtp_4)","_7468_/Q","_7465_/D","_7468_/Q","_7465_/D","-3.556",-3.556080,20,OK
2,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6781_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6781_/D","_7465_/Q","_6781_/D","-2.875",-2.875062,31,OK
3,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6773_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6773_/D","_7465_/Q","_6773_/D","-2.868",-2.868237,31,OK
4,"_7465_/Q (sky130_fd_sc_hd__dfrtp_2)","_7470_/D (sky130_fd_sc_hd__dfrtp_2)","_7465_/Q","_7470_/D","_7465_/Q","_7470_/D","-2.797",-2.797231,29,OK
5,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6740_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6740_/D","_7465_/Q","_6740_/D","-2.768",-2.767971,32,OK
6,"_7465_/Q (sky130_fd_sc_hd__dfrtp_4)","_7466_/D (sky130_fd_sc_hd__dfrtp_4)","_7465_/Q","_7466_/D","_7465_/Q","_7466_/D","-2.76",-2.759711,28,OK
7,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6776_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6776_/D","_7465_/Q","_6776_/D","-2.743",-2.742713,31,OK
8,"_7465_/Q (sky130_fd_sc_hd__dfrtp_2)","_7469_/D (sky130_fd_sc_hd__dfrtp_2)","_7465_/Q","_7469_/D","_7465_/Q","_7469_/D","-2.719",-2.719318,29,OK
9,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6777_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6777_/D","_7465_/Q","_6777_/D","-2.706",-2.705788,31,OK
10,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6739_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6739_/D","_7465_/Q","_6739_/D","-2.699",-2.698822,31,OK
11,"_7465_/Q (sky130_fd_sc_hd__dfrtp_4)","_7467_/D (sky130_fd_sc_hd__dfrtp_4)","_7465_/Q","_7467_/D","_7465_/Q","_7467_/D","-2.666",-2.666200,27,OK
12,"_7465_/Q (sky130_fd_sc_hd__dfrtp_4)","_7450_/D (sky130_fd_sc_hd__dfrtp_4)","_7465_/Q","_7450_/D","_7465_/Q","_7450_/D","-2.643",-2.642962,28,OK
13,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6741_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6741_/D","_7465_/Q","_6741_/D","-2.64",-2.639837,31,OK
14,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6736_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6736_/D","_7465_/Q","_6736_/D","-2.639",-2.639107,31,OK
15,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6778_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6778_/D","_7465_/Q","_6778_/D","-2.636",-2.636016,31,OK
16,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6748_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6748_/D","_7465_/Q","_6748_/D","-2.633",-2.632985,31,OK
17,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6749_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6749_/D","_7465_/Q","_6749_/D","-2.628",-2.627953,31,OK
18,"_7465_/Q (sky130_fd_sc_hd__dfstp_2)","_6786_/D (sky130_fd_sc_hd__dfstp_2)","_7465_/Q","_6786_/D","_7465_/Q","_6786_/D","-2.628",-2.627795,31,OK
