Total paths: 1006
Negative slack paths: 399
Top 5.0% worst paths (count=51):
Startpoint	Endpoint	Slack
_7465_/Q (sky130_fd_sc_hd__dfrtp_4)	_7465_/D (sky130_fd_sc_hd__dfrtp_4)	-4.278
_7465_/Q (sky130_fd_sc_hd__dfrtp_1)	_7426_/D (sky130_fd_sc_hd__dfrtp_1)	-3.288
_7465_/Q (sky130_fd_sc_hd__dfxtp_1)	_7416_/D (sky130_fd_sc_hd__dfxtp_1)	-2.971
_7465_/Q (sky130_fd_sc_hd__dfrtp_2)	_7470_/D (sky130_fd_sc_hd__dfrtp_2)	-2.96
_7465_/Q (sky130_fd_sc_hd__dfrtp_4)	_7450_/D (sky130_fd_sc_hd__dfrtp_4)	-2.941
_7465_/Q (sky130_fd_sc_hd__dfrtp_2)	_7469_/D (sky130_fd_sc_hd__dfrtp_2)	-2.908
_7465_/Q (sky130_fd_sc_hd__dfrtp_4)	_7467_/D (sky130_fd_sc_hd__dfrtp_4)	-2.9
_7465_/Q (sky130_fd_sc_hd__dfxtp_1)	_7415_/D (sky130_fd_sc_hd__dfxtp_1)	-2.827
_7465_/Q (sky130_fd_sc_hd__dfxtp_1)	_7414_/D (sky130_fd_sc_hd__dfxtp_1)	-2.808
_7465_/Q (sky130_fd_sc_hd__dfxtp_1)	_7411_/D (sky130_fd_sc_hd__dfxtp_1)	-2.798
_7465_/Q (sky130_fd_sc_hd__dfrtp_1)	_6794_/D (sky130_fd_sc_hd__dfrtp_1)	-2.743
_7465_/Q (sky130_fd_sc_hd__dfrtp_1)	_6793_/D (sky130_fd_sc_hd__dfrtp_1)	-2.741
_7465_/Q (sky130_fd_sc_hd__dfxtp_1)	_7413_/D (sky130_fd_sc_hd__dfxtp_1)	-2.714
_7465_/Q (sky130_fd_sc_hd__dfxtp_1)	_7410_/D (sky130_fd_sc_hd__dfxtp_1)	-2.713
_7465_/Q (sky130_fd_sc_hd__dfrtp_4)	_7466_/D (sky130_fd_sc_hd__dfrtp_4)	-2.695
_7465_/Q (sky130_fd_sc_hd__dfrtp_1)	_6756_/D (sky130_fd_sc_hd__dfrtp_1)	-2.694
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6732_/D (sky130_fd_sc_hd__dfstp_2)	-2.674
_7465_/Q (sky130_fd_sc_hd__dfstp_2)	_6775_/D (sky130_fd_sc_hd__dfstp_2)	-2.663
