net_name,status,bbox_area,bbox_aspect,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_perimeter,bbox_xmax,bbox_xmin,bbox_ymax,bbox_ymin,bterm_count,dist_drv_sink_max,dist_drv_sink_mean,dist_drv_sink_sum,driver_inst_area,driver_is_buf,driver_is_clkbuf,driver_is_ff_q,driver_is_inv,fanout,has_bterm,has_multiple_drivers,hpwl,is_bus_bit,is_clock_like,is_enable_like,is_reg2reg_candidate,is_reset_like,iterm_count,net_dbid,num_buf_drivers,num_buf_sinks,num_clkbuf_drivers,num_drivers,num_ff_sinks_d,num_inout,num_inv_drivers,num_inv_sinks,num_port_drivers,num_port_sinks,num_sinks,odb_net,sink_area_buf_sum,sink_area_ff_sum,sink_area_inv_sum,sink_area_max,sink_area_mean,sink_area_std,sink_area_sum,sink_centroid_dist_to_driver,sink_cnt,sink_dist_p50,sink_dist_p90,sink_dist_p95,sink_max_x,sink_max_y,sink_min_x,sink_min_y,sink_quadrant_q1,sink_quadrant_q2,sink_quadrant_q3,sink_quadrant_q4,sink_x_mean,sink_x_std,sink_y_mean,sink_y_std,term_count
"_000_","OK","0.0033850000000161607","3384.9966149872207","52.0925","102.1165","3.384999999999998","0.0010000000000047748","6.772000000000006","53.785","50.4","102.117","102.116","0","8.509999999999998","8.509999999999998","8.509999999999998","8.758400000000002","0","0","0","0","1","0","0","3.386000000000003","0","0","0","0","0","2","_980db3cae6570000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_980db3cae6570000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","8.509999999999998","1","8.509999999999998","8.509999999999998","8.509999999999998","57.5","102.0","57.5","102.0","0","0","0","1","57.5","","102.0","","2"
"_001_","OK","22.311850000000042","3.6102172149596816","52.587500000000006","97.91900000000001","8.975000000000001","2.486000000000004","22.92200000000001","57.075","48.1","99.162","96.676","0","9.39","9.39","9.39","8.758400000000002","0","0","0","0","1","0","0","11.461000000000006","0","0","0","0","0","2","_100eb3cae6570000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_100eb3cae6570000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","9.39","1","9.39","9.39","9.39","53.36","99.28","53.36","99.28","1","0","0","0","53.36","","99.28","","2"
"_002_","OK","20.02472999999992","3.2401448096379273","52.587500000000006","92.479","8.055","2.48599999999999","21.08199999999998","56.615","48.56","93.722","91.236","0","8.469999999999999","8.469999999999999","8.469999999999999","8.758400000000002","0","0","0","0","1","0","0","10.54099999999999","0","0","0","0","0","2","_880eb3cae6570000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_880eb3cae6570000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","8.469999999999999","1","8.469999999999999","8.469999999999999","8.469999999999999","52.9","93.84","52.9","93.84","1","0","0","0","52.9","","93.84","","2"
"_003_","OK","19.71794999999995","2.259647934238444","55.5775","84.32","6.674999999999997","2.9539999999999935","19.25799999999998","58.915","52.24","85.797","82.843","0","7.090000000000018","7.090000000000018","7.090000000000018","8.758400000000002","0","0","0","0","1","0","0","9.62899999999999","0","0","0","0","0","2","_000fb3cae6570000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_000fb3cae6570000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","7.090000000000018","1","7.090000000000018","7.090000000000018","7.090000000000018","55.2","85.68","55.2","85.68","0","1","0","0","55.2","","85.68","","2"
"_004_","OK","3.2050899999999953","0.36729857807471383","47.7225","78.88","1.0850000000000009","2.9539999999999935","8.077999999999989","48.265","47.18","80.357","77.403","0","8.929999999999993","8.929999999999993","8.929999999999993","8.758400000000002","0","0","0","0","1","0","0","4.038999999999994","0","0","0","0","0","2","_780fb3cae6570000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_780fb3cae6570000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","8.929999999999993","1","8.929999999999993","8.929999999999993","8.929999999999993","51.98","80.24","51.98","80.24","1","0","0","0","51.98","","80.24","","2"
"_005_","OK","3.4006250000000016","0.11486859031154771","54.8525","72.1965","0.625","5.4410000000000025","12.132000000000005","55.165","54.54","74.917","69.476","0","11.189999999999998","11.189999999999998","11.189999999999998","8.758400000000002","0","0","0","0","1","0","0","6.0660000000000025","0","0","0","0","0","2","_f00fb3cae6570000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_f00fb3cae6570000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","11.189999999999998","1","11.189999999999998","11.189999999999998","11.189999999999998","58.88","74.8","58.88","74.8","1","0","0","0","58.88","","74.8","","2"
"_006_","OK","10.90519499999999","0.3686339399947341","46.3425","69.2425","2.0049999999999955","5.439000000000007","14.888000000000005","47.345","45.34","71.962","66.523","0","12.57","12.57","12.57","8.758400000000002","0","0","0","0","1","0","0","7.444000000000003","0","0","0","0","0","2","_6810b3cae6570000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_6810b3cae6570000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","12.57","1","12.57","12.57","12.57","51.06","72.08","51.06","72.08","1","0","0","0","51.06","","72.08","","2"
"_007_","OK","20.312920000000034","2.523792737919","45.675","68.05850000000001","7.160000000000004","2.8370000000000033","19.994000000000014","49.255","42.095","69.477","66.64","0","7.32","7.32","7.32","7.5072","0","0","0","0","1","0","0","9.997000000000007","0","0","0","0","0","2","_e010b3cae6570000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_e010b3cae6570000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","7.32","1","7.32","7.32","7.32","45.54","69.36","45.54","69.36","0","1","0","0","45.54","","69.36","","2"
"_008_","OK","0.03915099999998816","0.0012515644553453148","63.3535","85.5865","0.006999999999997897","5.592999999999989","11.199999999999974","63.357","63.35","88.383","82.79","0","7.740000000000009","7.740000000000009","7.740000000000009","5.0048","0","0","0","0","1","0","0","5.599999999999987","0","0","0","0","0","2","_5811b3cae6570000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_5811b3cae6570000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","7.740000000000009","1","7.740000000000009","7.740000000000009","7.740000000000009","61.18","82.96","61.18","82.96","0","0","1","0","61.18","","82.96","","2"
"_009_","OK","0.08027200000002929","0.010476878608935581","72.99549999999999","24.334","0.029000000000010573","2.7680000000000007","5.5940000000000225","73.01","72.981","25.718","22.95","0","4.789999999999992","4.789999999999992","4.789999999999992","11.2608","0","0","0","0","1","0","0","2.7970000000000113","0","0","0","0","0","2","_d011b3cae6570000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_d011b3cae6570000_p_odb__dbNet","0.0","20.0192","0.0","20.0192","20.0192","","20.0192","4.789999999999992","1","4.789999999999992","4.789999999999992","4.789999999999992","70.84","23.12","70.84","23.12","0","0","1","0","70.84","","23.12","","2"
