net_name,label
_000_,0
_001_,0
_002_,0
_003_,0
_004_,0
_005_,0
_006_,0
_007_,0
_008_,0
_009_,0
_010_,0
_011_,0
_012_,0
_013_,0
_014_,0
_015_,0
_016_,0
_017_,0
_018_,1
_019_,1
_020_,0
_021_,0
_022_,0
_023_,0
_024_,0
_025_,0
_026_,0
_027_,0
_028_,0
_029_,0
_030_,0
_031_,0
_032_,0
_033_,0
_034_,0
_035_,0
_036_,0
_037_,0
_038_,0
_039_,0
_040_,0
_041_,0
_042_,0
_043_,0
_044_,0
_045_,0
_046_,0
_047_,0
_048_,0
_049_,0
_050_,0
_051_,0
_052_,0
_053_,0
_054_,0
_055_,1
_056_,0
_057_,0
_058_,0
_059_,0
_060_,0
_061_,0
_062_,0
_063_,0
_064_,0
_065_,0
_066_,0
_067_,0
_068_,0
_069_,1
_070_,0
_071_,0
_072_,0
_073_,0
_074_,1
_075_,0
_076_,0
_077_,0
_078_,0
_079_,0
_080_,0
_081_,0
_082_,0
_083_,0
_084_,0
_085_,0
_086_,0
_087_,0
_088_,0
_089_,0
_090_,0
_091_,0
_092_,0
_093_,0
_094_,0
_095_,0
_096_,0
_097_,0
_098_,0
_099_,0
_100_,0
_101_,0
_102_,0
_103_,0
_104_,0
_105_,0
_106_,0
_107_,0
_108_,0
_109_,0
_110_,0
_111_,0
_112_,0
_113_,0
_114_,0
_115_,0
_116_,0
_117_,0
_118_,0
_119_,0
_120_,0
_121_,0
_122_,0
_123_,0
_124_,0
_125_,0
_126_,0
_127_,0
_128_,0
_129_,0
_130_,0
_131_,0
_132_,0
_133_,0
_134_,0
_135_,0
_136_,0
_137_,0
_138_,0
_139_,0
_140_,0
_141_,0
_142_,0
_143_,0
_144_,0
_145_,0
_146_,0
_147_,0
_148_,0
_149_,1
_150_,0
change,0
clk,0
cts_i,0
din_i[0],0
din_i[1],0
din_i[2],0
din_i[3],0
din_i[4],0
din_i[5],0
din_i[6],0
din_i[7],0
dout_o[0],0
dout_o[1],0
dout_o[2],0
dout_o[3],0
dout_o[4],0
dout_o[5],0
dout_o[6],0
dout_o[7],0
dpll_state[0],0
dpll_state[1],0
dpll_state[2],0
dpll_state[3],0
empty_o,0
full_o,0
hold_reg[0],0
hold_reg[1],0
hold_reg[2],0
hold_reg[3],0
hold_reg[4],0
hold_reg[5],0
hold_reg[6],0
hold_reg[7],0
hold_reg[8],0
load,0
re_i,0
rst,0
rts_o,0
rx_bit_cnt[0],0
rx_bit_cnt[1],0
rx_bit_cnt[2],0
rx_bit_cnt[3],0
rx_fifo.din[0],0
rx_fifo.din[1],0
rx_fifo.din[2],0
rx_fifo.din[3],0
rx_fifo.din[4],0
rx_fifo.din[5],0
rx_fifo.din[6],0
rx_fifo.din[7],0
rx_fifo.full,0
rx_fifo.gb,0
rx_fifo.mem[0][0],0
rx_fifo.mem[0][1],0
rx_fifo.mem[0][2],0
rx_fifo.mem[0][3],0
rx_fifo.mem[0][4],0
rx_fifo.mem[0][5],0
rx_fifo.mem[0][6],0
rx_fifo.mem[0][7],0
rx_fifo.mem[1][0],0
rx_fifo.mem[1][1],0
rx_fifo.mem[1][2],0
rx_fifo.mem[1][3],0
rx_fifo.mem[1][4],0
rx_fifo.mem[1][5],0
rx_fifo.mem[1][6],0
rx_fifo.mem[1][7],0
rx_fifo.mem[2][0],0
rx_fifo.mem[2][1],0
rx_fifo.mem[2][2],0
rx_fifo.mem[2][3],0
rx_fifo.mem[2][4],0
rx_fifo.mem[2][5],0
rx_fifo.mem[2][6],0
rx_fifo.mem[2][7],0
rx_fifo.mem[3][0],0
rx_fifo.mem[3][1],0
rx_fifo.mem[3][2],0
rx_fifo.mem[3][3],0
rx_fifo.mem[3][4],0
rx_fifo.mem[3][5],0
rx_fifo.mem[3][6],0
rx_fifo.mem[3][7],0
rx_fifo.rp[0],0
rx_fifo.rp[1],0
rx_fifo.wp[0],0
rx_fifo.wp[1],1
rx_go,0
rx_sio_ce,0
rx_sio_ce_d,0
rx_sio_ce_r1,0
rx_sio_ce_r2,0
rx_valid,0
rx_valid_r,0
rxd_i,0
rxd_r,0
rxd_s,0
shift_en,0
shift_en_r,0
sio_ce,0
sio_ce_x4,0
tx_bit_cnt[0],0
tx_bit_cnt[1],0
tx_bit_cnt[2],0
tx_bit_cnt[3],0
tx_fifo.gb,0
tx_fifo.mem[0][0],0
tx_fifo.mem[0][1],0
tx_fifo.mem[0][2],0
tx_fifo.mem[0][3],0
tx_fifo.mem[0][4],0
tx_fifo.mem[0][5],0
tx_fifo.mem[0][6],0
tx_fifo.mem[0][7],0
tx_fifo.mem[1][0],0
tx_fifo.mem[1][1],0
tx_fifo.mem[1][2],0
tx_fifo.mem[1][3],0
tx_fifo.mem[1][4],0
tx_fifo.mem[1][5],0
tx_fifo.mem[1][6],0
tx_fifo.mem[1][7],0
tx_fifo.mem[2][0],0
tx_fifo.mem[2][1],0
tx_fifo.mem[2][2],0
tx_fifo.mem[2][3],0
tx_fifo.mem[2][4],0
tx_fifo.mem[2][5],0
tx_fifo.mem[2][6],0
tx_fifo.mem[2][7],0
tx_fifo.mem[3][0],0
tx_fifo.mem[3][1],0
tx_fifo.mem[3][2],0
tx_fifo.mem[3][3],0
tx_fifo.mem[3][4],0
tx_fifo.mem[3][5],0
tx_fifo.mem[3][6],0
tx_fifo.mem[3][7],0
tx_fifo.rp[0],0
tx_fifo.rp[1],0
tx_fifo.wp[0],0
tx_fifo.wp[1],0
txd_o,1
txf_empty_r,0
we_i,0
net270,1
net271,1
net272,0
net273,0
net274,0
net201,0
net295,0
net284,0
net294,0
net285,1
net287,0
net290,0
net297,0
net298,0
net199,0
net306,0
net17,0
net18,0
net19,0
net20,0
net21,0
net22,0
net23,0
net24,0
net25,0
net26,0
net27,0
net28,0
net29,0
net307,1
net31,0
net32,0
net33,0
net34,0
net35,0
net36,0
net37,0
net38,0
net39,0
net40,0
net41,0
net42,0
net43,0
net44,0
net45,0
net46,0
net47,0
net48,0
net49,0
net50,0
net51,0
net52,0
net53,0
net54,0
net55,0
net56,0
net57,0
net58,0
net59,0
net60,0
net61,0
net62,0
net63,0
net64,0
net65,0
net66,0
net67,0
net68,0
net69,0
net70,0
net71,0
net72,0
net73,0
net74,0
net75,0
net76,0
net77,0
net78,0
net79,0
net80,0
net81,0
net82,0
net83,0
net84,0
net85,0
net86,0
net87,0
net88,0
net89,0
net90,0
net91,0
net92,0
net93,0
net94,0
net95,0
net96,0
net97,0
net98,0
net308,1
net198,0
net191,0
net190,0
net189,0
net188,0
net187,0
net186,0
net197,0
net185,0
net301,0
net296,0
net309,0
net305,0
net304,0
net303,0
net196,0
net195,0
net194,0
net193,0
net192,0
net311,0
net293,0
net292,0
net291,0
net286,0
net276,0
net200,0
net302,0
net300,0
net299,0
net283,0
net280,0
net279,0
net275,1
net310,0
net206,0
net205,0
net204,0
net203,0
net202,0
net211,0
net210,0
net209,0
net208,0
net207,0
net216,0
net215,0
net214,0
net213,0
net212,0
net269,0
net217,0
net218,0
net219,0
net220,0
net221,0
net222,0
net223,0
net224,0
net225,0
net226,0
net227,0
net228,0
net229,0
net230,0
net231,0
net232,0
net233,0
net234,0
net235,0
net236,0
net237,0
net238,0
net239,0
net240,0
net241,0
net242,0
net243,0
net244,0
net245,0
net246,0
net247,0
net248,0
net249,0
net250,0
net251,0
net252,0
net253,0
net254,0
net255,0
net256,0
net257,0
net258,0
net259,0
net260,0
net261,0
net262,0
net263,0
net264,0
net265,0
net266,0
net267,0
net268,0
net277,0
net278,0
net281,0
net282,0
net288,0
net289,0
net312,0
net313,0
net314,0
net315,0
net316,0
net317,0
net318,0
net319,0
net320,0
net321,0
net322,0
net323,0
net324,0
net325,0
net326,0
net327,0
net328,0
net329,0
net330,0
net331,0
net332,0
net333,0
net334,0
net335,0
net336,0
net337,0
net338,0
net339,0
net340,0
net341,0
net342,0
net343,0
net344,0
net345,0
net346,0
net347,0
net348,0
net349,0
net350,0
net351,0
net352,0
net353,0
net354,0
net355,0
net356,0
net357,0
net358,0
net359,0
net360,0
net361,0
net362,0
net363,0
net364,0
net365,0
net366,0
net367,0
net368,0
net369,0
net370,0
net371,0
net372,0
net373,0
net374,0
net375,0
net376,0
net377,0
net378,0
net379,0
net380,0
net381,0
net382,0
net383,0
net384,0
net385,0
net386,0
net387,0
net388,0
net389,0
net390,0
net391,0
