net_name,status,bbox_area,bbox_aspect,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_perimeter,bbox_xmax,bbox_xmin,bbox_ymax,bbox_ymin,bterm_count,dist_drv_sink_max,dist_drv_sink_mean,dist_drv_sink_sum,driver_inst_area,driver_is_buf,driver_is_clkbuf,driver_is_ff_q,driver_is_inv,fanout,has_bterm,has_multiple_drivers,hpwl,is_bus_bit,is_clock_like,is_enable_like,is_reg2reg_candidate,is_reset_like,iterm_count,net_dbid,num_buf_drivers,num_buf_sinks,num_clkbuf_drivers,num_drivers,num_ff_sinks_d,num_inout,num_inv_drivers,num_inv_sinks,num_port_drivers,num_port_sinks,num_sinks,odb_net,sink_area_buf_sum,sink_area_ff_sum,sink_area_inv_sum,sink_area_max,sink_area_mean,sink_area_std,sink_area_sum,sink_centroid_dist_to_driver,sink_cnt,sink_dist_p50,sink_dist_p90,sink_dist_p95,sink_max_x,sink_max_y,sink_min_x,sink_min_y,sink_quadrant_q1,sink_quadrant_q2,sink_quadrant_q3,sink_quadrant_q4,sink_x_mean,sink_x_std,sink_y_mean,sink_y_std,term_count
"_000_","OK","16.87990000000008","1.939661016291627","89.082","136.123","5.721999999999994","2.950000000000017","17.344000000000023","91.943","86.221","137.598","134.648","0","4.5600000000000165","4.5600000000000165","4.5600000000000165","3.7536","0","0","0","0","1","0","0","8.672000000000011","0","0","0","0","0","2","_c864f341c4550000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_c864f341c4550000_p_odb__dbNet","0.0","28.777600000000003","0.0","28.777600000000003","28.777600000000003","","28.777600000000003","4.5600000000000165","1","4.5600000000000165","4.5600000000000165","4.5600000000000165","89.93","137.36","89.93","137.36","1","0","0","0","89.93","","137.36","","2"
"_001_","OK","8.188125999999997","0.9947716971088281","11.972","171.40249999999997","2.853999999999999","2.8689999999999998","11.445999999999998","13.399","10.545","172.837","169.968","0","3.179999999999998","3.179999999999998","3.179999999999998","5.0048","0","0","0","0","1","0","0","5.722999999999999","0","0","0","0","0","2","_4065f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_4065f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","3.179999999999998","1","3.179999999999998","3.179999999999998","3.179999999999998","14.26","172.72","14.26","172.72","1","0","0","0","14.26","","172.72","","2"
"_002_","OK","1.5850659999999959","0.22863653618357915","7.166","73.27850000000001","0.6019999999999994","2.6329999999999956","6.46999999999999","7.467","6.865","74.595","71.962","0","6.169999999999999","6.169999999999999","6.169999999999999","6.256","0","0","0","0","1","0","0","3.234999999999995","0","0","0","0","0","2","_b865f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_b865f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","6.169999999999999","1","6.169999999999999","6.169999999999999","6.169999999999999","10.58","72.08","10.58","72.08","0","0","0","1","10.58","","72.08","","2"
"_003_","OK","14.732315999999958","0.48244661590980153","8.752","175.514","2.6660000000000013","5.525999999999982","16.383999999999965","10.085","7.419","178.277","172.751","0","11.419999999999998","11.419999999999998","11.419999999999998","5.0048","0","0","0","0","1","0","0","8.191999999999982","0","0","0","0","0","2","_3066f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_3066f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","11.419999999999998","1","11.419999999999998","11.419999999999998","11.419999999999998","13.8","178.16","13.8","178.16","1","0","0","0","13.8","","178.16","","2"
"_004_","OK","0.268835999999951","36.348836786648064","8.982","175.365","3.1260000000000003","0.08599999999998431","6.423999999999969","10.545","7.419","175.408","175.322","0","6.4399999999999995","6.4399999999999995","6.4399999999999995","5.0048","0","0","0","0","1","0","0","3.2119999999999846","0","0","0","0","0","2","_a866f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_a866f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","6.4399999999999995","1","6.4399999999999995","6.4399999999999995","6.4399999999999995","14.26","175.44","14.26","175.44","1","0","0","0","14.26","","175.44","","2"
"_005_","OK","3.4886399999999904","0.5458860757334333","11.235","155.253","1.3800000000000008","2.5279999999999916","7.815999999999985","11.925","10.545","156.517","153.989","0","7.32","7.32","7.32","7.5072","0","0","0","0","1","0","0","3.9079999999999924","0","0","0","0","0","2","_2067f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_2067f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","7.32","1","7.32","7.32","7.32","15.64","156.4","15.64","156.4","1","0","0","0","15.64","","156.4","","2"
"_006_","OK","0.19994999999996363","27.034883406576068","12.6025","151.034","2.325000000000001","0.08599999999998431","4.821999999999971","13.765","11.44","151.077","150.991","0","6.440000000000001","6.440000000000001","6.440000000000001","5.0048","0","0","0","0","1","0","0","2.4109999999999854","0","0","0","0","0","2","_9867f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_9867f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","6.440000000000001","1","6.440000000000001","6.440000000000001","6.440000000000001","17.48","150.96","17.48","150.96","0","0","0","1","17.48","","150.96","","2"
"_007_","OK","4.488965999999998","0.6791131852667789","13.352","130.5165","1.7460000000000004","2.570999999999998","8.633999999999997","14.225","12.479","131.802","129.231","0","7.779999999999999","7.779999999999999","7.779999999999999","5.0048","0","0","0","0","1","0","0","4.316999999999998","0","0","0","0","0","2","_1068f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_1068f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","7.779999999999999","1","7.779999999999999","7.779999999999999","7.779999999999999","17.94","131.92","17.94","131.92","1","0","0","0","17.94","","131.92","","2"
"_008_","OK","0.26883599999999536","36.34883678664205","12.661999999999999","112.95400000000001","3.1259999999999994","0.08599999999999852","6.423999999999996","14.225","11.099","112.997","112.911","0","6.440000000000001","6.440000000000001","6.440000000000001","5.0048","0","0","0","0","1","0","0","3.211999999999998","0","0","0","0","0","2","_8868f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_8868f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","6.440000000000001","1","6.440000000000001","6.440000000000001","6.440000000000001","17.94","112.88","17.94","112.88","0","0","0","1","17.94","","112.88","","2"
"_009_","OK","1.2469349999999975","0.18864255146299388","8.4625","81.5565","0.48499999999999943","2.570999999999998","6.111999999999995","8.705","8.22","82.842","80.271","0","7.3199999999999985","7.3199999999999985","7.3199999999999985","5.0048","0","0","0","0","1","0","0","3.0559999999999974","0","0","0","0","0","2","_0069f341c4550000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_0069f341c4550000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","7.3199999999999985","1","7.3199999999999985","7.3199999999999985","7.3199999999999985","12.42","82.96","12.42","82.96","1","0","0","0","12.42","","82.96","","2"
