net_name,label
_000_,0
_001_,0
_002_,0
_003_,0
_004_,0
_005_,1
_006_,1
_007_,0
_008_,0
_009_,0
_010_,0
_011_,0
_012_,0
_013_,0
_014_,0
_015_,1
_016_,0
_017_,0
_018_,0
_019_,0
_020_,0
_021_,0
_022_,0
_023_,0
_024_,0
_025_,0
_026_,0
_027_,0
_028_,0
_029_,0
_030_,0
_031_,0
_032_,0
_033_,0
_034_,0
_035_,0
_036_,0
_037_,0
_038_,0
_039_,0
_040_,0
_041_,0
_042_,0
_043_,0
_044_,0
_045_,0
_046_,0
_047_,0
_048_,0
_049_,0
_050_,0
_051_,0
_052_,0
_053_,0
_054_,1
_055_,0
_056_,0
_057_,1
_058_,1
_059_,0
_060_,0
_061_,0
_062_,0
_063_,0
_064_,0
_065_,0
_066_,0
_067_,0
_068_,0
_069_,0
_070_,0
_071_,0
_072_,0
_073_,0
_074_,0
_075_,0
_076_,0
_077_,0
_078_,0
_079_,0
_080_,0
_081_,0
_082_,1
_083_,0
_084_,1
_085_,0
_086_,0
_087_,1
_088_,0
_089_,1
_090_,0
_091_,0
_092_,0
_093_,1
_094_,0
_095_,0
_096_,0
_097_,0
_098_,0
_099_,0
_100_,0
_101_,0
_102_,0
_103_,0
_104_,0
_105_,0
_106_,0
_107_,0
_108_,1
_109_,0
_110_,0
_111_,0
_112_,1
_113_,0
_114_,0
_115_,0
_116_,0
_117_,0
_118_,0
_119_,0
_120_,0
_121_,0
_122_,0
_123_,0
_124_,0
_125_,0
_126_,0
_127_,0
_128_,0
_129_,0
_130_,0
_131_,0
_132_,0
_133_,0
_134_,0
_135_,0
_136_,0
_137_,0
_138_,0
_139_,0
_140_,0
_141_,0
_142_,0
_143_,0
_144_,0
_145_,0
_146_,0
_147_,0
_148_,0
_149_,0
_150_,0
_151_,0
_152_,0
_153_,0
_154_,0
_155_,0
_156_,0
_157_,0
_158_,0
_159_,0
_160_,0
_161_,0
_162_,0
_163_,0
_164_,0
_165_,0
_166_,0
_167_,0
_168_,0
_169_,0
_170_,0
_171_,0
_172_,0
_173_,0
_174_,0
_175_,0
_176_,0
_177_,0
_178_,0
_179_,0
_180_,0
_181_,0
_182_,0
_183_,0
_184_,0
_185_,0
_186_,0
_187_,0
_188_,0
_189_,0
_190_,0
_191_,0
_192_,0
_193_,0
_194_,0
_195_,0
_196_,0
_197_,0
_198_,1
_199_,0
_200_,0
_201_,0
_202_,0
_203_,0
_204_,0
_205_,0
_206_,0
_207_,0
_208_,0
_209_,0
_210_,0
_211_,0
_212_,0
_213_,0
_214_,0
_215_,0
_216_,0
_217_,0
_218_,0
_219_,0
_220_,0
_221_,0
_222_,0
_223_,0
_224_,0
_225_,1
_226_,1
_227_,0
_228_,0
_229_,0
_230_,0
_231_,1
_232_,1
_233_,0
_234_,0
_235_,0
_236_,0
_237_,0
_238_,0
_239_,0
_240_,0
_241_,0
_242_,0
_243_,0
_244_,0
_245_,0
_246_,0
ack_o,0
adr_i[0],0
adr_i[1],0
bcnt[0],0
bcnt[1],0
bcnt[2],0
clk_i,0
clkcnt[0],0
clkcnt[10],0
clkcnt[11],0
clkcnt[1],0
clkcnt[2],0
clkcnt[3],0
clkcnt[4],0
clkcnt[5],0
clkcnt[6],0
clkcnt[7],0
clkcnt[8],0
clkcnt[9],0
cpha,0
cpol,0
cyc_i,0
dat_i[0],0
dat_i[1],0
dat_i[2],0
dat_i[3],0
dat_i[4],0
dat_i[5],0
dat_i[6],0
dat_i[7],0
dat_o[0],0
dat_o[1],0
dat_o[2],0
dat_o[3],0
dat_o[4],0
dat_o[5],0
dat_o[6],0
dat_o[7],0
dwom,0
espr[0],0
espr[1],0
espr[2],0
espr[3],0
icnt[0],0
icnt[1],0
inta_o,0
miso_i,0
mosi_o,0
rfifo.din[1],0
rfifo.din[2],0
rfifo.din[3],0
rfifo.din[4],0
rfifo.din[5],0
rfifo.din[6],0
rfifo.din[7],0
rfifo.gb,0
rfifo.mem[0][0],0
rfifo.mem[0][1],0
rfifo.mem[0][2],0
rfifo.mem[0][3],0
rfifo.mem[0][4],0
rfifo.mem[0][5],0
rfifo.mem[0][6],0
rfifo.mem[0][7],0
rfifo.mem[1][0],0
rfifo.mem[1][1],0
rfifo.mem[1][2],0
rfifo.mem[1][3],0
rfifo.mem[1][4],0
rfifo.mem[1][5],0
rfifo.mem[1][6],0
rfifo.mem[1][7],0
rfifo.mem[2][0],0
rfifo.mem[2][1],0
rfifo.mem[2][2],0
rfifo.mem[2][3],0
rfifo.mem[2][4],0
rfifo.mem[2][5],0
rfifo.mem[2][6],0
rfifo.mem[2][7],0
rfifo.mem[3][0],0
rfifo.mem[3][1],0
rfifo.mem[3][2],0
rfifo.mem[3][3],0
rfifo.mem[3][4],0
rfifo.mem[3][5],0
rfifo.mem[3][6],0
rfifo.mem[3][7],0
rfifo.rp[0],0
rfifo.rp[1],0
rfifo.we,0
rfifo.wp[0],0
rfifo.wp[1],0
rst_i,0
sck_o,0
spe,0
sper[2],0
sper[3],0
sper[4],0
sper[5],0
spie,0
spif,0
state[0],0
state[1],0
stb_i,0
tcnt[0],0
tcnt[1],0
wcol,0
we_i,0
wfifo.gb,0
wfifo.mem[0][0],0
wfifo.mem[0][1],0
wfifo.mem[0][2],0
wfifo.mem[0][3],0
wfifo.mem[0][4],0
wfifo.mem[0][5],0
wfifo.mem[0][6],0
wfifo.mem[0][7],0
wfifo.mem[1][0],0
wfifo.mem[1][1],0
wfifo.mem[1][2],0
wfifo.mem[1][3],0
wfifo.mem[1][4],0
wfifo.mem[1][5],0
wfifo.mem[1][6],0
wfifo.mem[1][7],0
wfifo.mem[2][0],0
wfifo.mem[2][1],0
wfifo.mem[2][2],0
wfifo.mem[2][3],0
wfifo.mem[2][4],0
wfifo.mem[2][5],0
wfifo.mem[2][6],0
wfifo.mem[2][7],0
wfifo.mem[3][0],0
wfifo.mem[3][1],0
wfifo.mem[3][2],0
wfifo.mem[3][3],0
wfifo.mem[3][4],0
wfifo.mem[3][5],0
wfifo.mem[3][6],0
wfifo.mem[3][7],0
wfifo.re,0
wfifo.rp[0],0
wfifo.rp[1],0
wfifo.wp[0],0
wfifo.wp[1],0
net358,1
net297,0
net298,0
net360,1
net361,1
net296,0
net365,0
net366,0
net377,0
net368,0
net283,0
net282,0
net371,1
net281,0
net369,0
net280,0
net370,0
net372,0
net279,0
net647,0
net373,0
net374,0
net278,0
net378,0
net380,0
net384,0
net382,0
net383,0
net381,0
net387,0
net389,0
net388,0
net391,0
net390,0
net400,0
net401,0
net398,0
net399,0
net274,0
net259,0
net409,0
net408,0
net751,0
net397,0
net411,0
net414,0
net393,0
net394,0
net51,0
net635,0
net57,0
net667,0
net637,0
net61,0
net675,0
net711,0
net666,0
net66,0
net68,0
net74,0
net752,0
net79,0
net80,0
net730,0
net85,0
net86,0
net733,0
net91,0
net92,0
net743,0
net736,0
net99,0
net100,0
net103,0
net104,0
net724,0
net109,0
net110,0
net111,0
net114,0
net115,0
net116,0
net121,0
net122,0
net123,0
net124,0
net125,0
net126,0
net127,0
net128,0
net129,0
net130,0
net131,0
net132,0
net133,0
net134,0
net135,0
net136,0
net137,0
net138,0
net139,0
net140,0
net141,0
net142,0
net143,0
net144,0
net145,0
net413,0
net147,0
net729,0
net741,0
net258,0
net646,0
net407,0
net406,0
net405,0
net404,0
net726,0
net403,0
net402,0
net267,0
net266,0
net265,0
net264,0
net273,0
net272,0
net722,0
net275,0
net392,0
net385,0
net379,0
net668,0
net375,0
net277,0
net276,0
net295,0
net287,0
net286,0
net285,0
net284,0
net362,0
net294,0
net293,0
net292,0
net291,0
net290,0
net289,0
net288,0
net356,0
net357,1
net299,0
net728,0
net740,0
net673,0
net638,0
net307,0
net308,0
net714,0
net720,0
net653,0
net312,0
net706,0
net672,0
net764,0
net669,0
net327,0
net328,0
net329,0
net334,0
net335,0
net731,0
net734,0
net340,0
net341,0
net342,0
net343,0
net742,0
net348,0
net737,0
net353,0
net355,1
net364,1
net367,0
net386,0
net395,0
net396,0
net415,0
net416,0
net417,0
net418,0
net422,0
net423,0
net429,0
net430,0
net431,0
net432,0
net433,0
net434,0
net439,0
net440,0
net441,0
net442,0
net443,0
net444,0
net445,0
net446,0
net447,0
net448,0
net449,0
net450,0
net451,0
net452,0
net453,0
net454,0
net455,0
net456,0
net457,0
net458,0
net459,0
net460,0
net461,0
net462,0
net463,0
net727,0
net739,0
net468,0
net469,0
net470,0
net472,0
net644,0
net474,0
net713,0
net636,0
net650,0
net759,0
net750,0
net484,0
net678,0
net679,0
net491,0
net493,0
net494,0
net495,0
net496,0
net735,0
net732,0
net505,0
net506,0
net744,0
net511,0
net512,0
net738,0
net517,0
net518,0
clknet_0_clk_i,0
clknet_3_0_0_clk_i,0
clknet_3_1_0_clk_i,0
clknet_3_2_0_clk_i,0
clknet_3_3_0_clk_i,0
clknet_3_4_0_clk_i,0
clknet_3_5_0_clk_i,0
clknet_3_6_0_clk_i,0
clknet_3_7_0_clk_i,0
clknet_4_0__leaf_clk_i,0
clknet_4_1__leaf_clk_i,0
clknet_4_2__leaf_clk_i,0
clknet_4_3__leaf_clk_i,0
clknet_4_4__leaf_clk_i,0
clknet_4_5__leaf_clk_i,0
clknet_4_6__leaf_clk_i,0
clknet_4_7__leaf_clk_i,0
clknet_4_8__leaf_clk_i,0
clknet_4_9__leaf_clk_i,0
clknet_4_10__leaf_clk_i,0
clknet_4_11__leaf_clk_i,0
clknet_4_12__leaf_clk_i,0
clknet_4_13__leaf_clk_i,0
clknet_4_14__leaf_clk_i,0
clknet_4_15__leaf_clk_i,0
net520,0
net521,0
net522,0
net628,0
net524,0
net526,0
net527,0
net528,0
net529,0
net530,0
net531,0
net532,0
net533,0
net534,0
net535,0
net536,0
net537,0
net538,0
net539,0
net540,0
net541,0
net542,0
net543,0
net544,0
net545,0
net546,0
net547,0
net548,0
net549,0
net550,0
net551,0
net552,0
net553,0
net554,0
net555,0
net556,0
net557,0
net558,0
net559,0
net560,0
net561,0
net562,0
net563,0
net564,0
net565,0
net566,0
net567,0
net568,0
net569,0
net570,0
net571,0
net572,0
net573,0
net574,0
net575,0
net576,0
net577,0
net578,0
net579,0
net580,0
net581,0
net582,0
net583,0
net585,0
net586,0
net587,0
net588,0
net589,0
net749,0
net591,0
net592,0
net594,0
net595,0
net596,0
net597,0
net598,0
net599,0
net601,0
net602,0
net603,0
net604,0
net605,0
net606,0
net607,0
net608,0
net609,0
net610,0
net611,0
net612,0
net613,0
net614,0
net615,0
net616,0
net617,0
net618,0
net619,0
net622,0
net624,0
net625,0
net627,0
