net_name,status,bbox_area,bbox_aspect,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_perimeter,bbox_xmax,bbox_xmin,bbox_ymax,bbox_ymin,bterm_count,dist_drv_sink_max,dist_drv_sink_mean,dist_drv_sink_sum,driver_inst_area,driver_is_buf,driver_is_clkbuf,driver_is_ff_q,driver_is_inv,fanout,has_bterm,has_multiple_drivers,hpwl,is_bus_bit,is_clock_like,is_enable_like,is_reg2reg_candidate,is_reset_like,iterm_count,net_dbid,num_buf_drivers,num_buf_sinks,num_clkbuf_drivers,num_drivers,num_ff_sinks_d,num_inout,num_inv_drivers,num_inv_sinks,num_port_drivers,num_port_sinks,num_sinks,odb_net,sink_area_buf_sum,sink_area_ff_sum,sink_area_inv_sum,sink_area_max,sink_area_mean,sink_area_std,sink_area_sum,sink_centroid_dist_to_driver,sink_cnt,sink_dist_p50,sink_dist_p90,sink_dist_p95,sink_max_x,sink_max_y,sink_min_x,sink_min_y,sink_quadrant_q1,sink_quadrant_q2,sink_quadrant_q3,sink_quadrant_q4,sink_x_mean,sink_x_std,sink_y_mean,sink_y_std,term_count
"_0000_","OK","0.7843499999999927","0.1265060240455807","5.8785","187.55599999999998","0.3149999999999995","2.4899999999999807","5.60999999999996","6.036","5.721","188.801","186.311","0","5.939999999999999","5.939999999999999","5.939999999999999","3.7536","0","0","0","0","1","0","0","2.80499999999998","0","0","0","0","0","2","_982e24b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_982e24b032620000_p_odb__dbNet","0.0","28.777600000000003","0.0","28.777600000000003","28.777600000000003","","28.777600000000003","5.939999999999999","1","5.939999999999999","5.939999999999999","5.939999999999999","9.43","189.04","9.43","189.04","1","0","0","0","9.43","","189.04","","2"
"_0001_","OK","7.117470000000009","0.2392739273488676","11.1725","208.118","1.3049999999999997","5.454000000000008","13.518000000000015","11.825","10.52","210.845","205.391","0","6.589999999999996","6.589999999999996","6.589999999999996","5.0048","0","0","0","0","1","0","0","6.7590000000000074","0","0","0","0","0","2","_102f24b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_102f24b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","6.589999999999996","1","6.589999999999996","6.589999999999996","6.589999999999996","8.97","210.8","8.97","210.8","0","1","0","0","8.97","","210.8","","2"
"_0002_","OK","7.998100000000018","1.1440998482813518","7.6275","87.033","3.0250000000000004","2.6440000000000055","11.338000000000012","9.14","6.115","88.355","85.711","0","2.9499999999999993","2.9499999999999993","2.9499999999999993","5.0048","0","0","0","0","1","0","0","5.669000000000006","0","0","0","0","0","2","_882f24b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_882f24b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","2.9499999999999993","1","2.9499999999999993","2.9499999999999993","2.9499999999999993","8.97","88.4","8.97","88.4","1","0","0","0","8.97","","88.4","","2"
"_0003_","OK","3.1319549999999996","0.44835414284965763","6.7075","97.9265","1.1849999999999996","2.6430000000000007","7.656000000000001","7.3","6.115","99.248","96.605","0","4.789999999999999","4.789999999999999","4.789999999999999","5.0048","0","0","0","0","1","0","0","3.8280000000000003","0","0","0","0","0","2","_003024b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_003024b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","4.789999999999999","1","4.789999999999999","4.789999999999999","4.789999999999999","8.97","96.56","8.97","96.56","0","0","0","1","8.97","","96.56","","2"
"_0004_","OK","10.747859999999964","1.5374432671946179","9.7925","76.15299999999999","4.0649999999999995","2.6439999999999912","13.417999999999981","11.825","7.76","77.475","74.831","0","4.329999999999999","4.329999999999999","4.329999999999999","5.0048","0","0","0","0","1","0","0","6.708999999999991","0","0","0","0","0","2","_783024b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_783024b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","4.329999999999999","1","4.329999999999999","4.329999999999999","4.329999999999999","8.97","77.52","8.97","77.52","0","1","0","0","8.97","","77.52","","2"
"_0005_","OK","3.3306929999999957","0.5207591931511438","11.1665","130.6105","1.3170000000000002","2.5289999999999964","7.691999999999993","11.825","10.508","131.875","129.346","0","3.639999999999999","3.639999999999999","3.639999999999999","6.256","0","0","0","0","1","0","0","3.8459999999999965","0","0","0","0","0","2","_f03024b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_f03024b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","3.639999999999999","1","3.639999999999999","3.639999999999999","3.639999999999999","8.97","131.92","8.97","131.92","0","1","0","0","8.97","","131.92","","2"
"_0006_","OK","2.9018989999999993","0.3452914797015204","6.6155","138.6755","1.0009999999999994","2.899000000000001","7.800000000000001","7.116","6.115","140.125","137.226","0","2.719999999999999","2.719999999999999","2.719999999999999","11.2608","0","0","0","0","1","0","0","3.9000000000000004","0","0","0","0","0","2","_683124b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_683124b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","2.719999999999999","1","2.719999999999999","2.719999999999999","2.719999999999999","8.97","140.08","8.97","140.08","1","0","0","0","8.97","","140.08","","2"
"_0007_","OK","1.0152959999999898","0.14523449313720435","6.307","152.313","0.38399999999999945","2.643999999999977","6.055999999999953","6.499","6.115","153.635","150.991","0","4.789999999999999","4.789999999999999","4.789999999999999","5.0048","0","0","0","0","1","0","0","3.0279999999999765","0","0","0","0","0","2","_e03124b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_e03124b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","4.789999999999999","1","4.789999999999999","4.789999999999999","4.789999999999999","8.97","153.68","8.97","153.68","1","0","0","0","8.97","","153.68","","2"
"_0008_","OK","8.970185000000003","0.30166880610642394","6.9375","210.7615","1.6449999999999996","5.453000000000003","14.196000000000005","7.76","6.115","213.488","208.035","0","7.049999999999998","7.049999999999998","7.049999999999998","5.0048","0","0","0","0","1","0","0","7.0980000000000025","0","0","0","0","0","2","_583224b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_583224b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","7.049999999999998","1","7.049999999999998","7.049999999999998","7.049999999999998","8.97","208.08","8.97","208.08","0","0","0","1","8.97","","208.08","","2"
"_0009_","OK","2.7926500000000143","0.3652802891988116","6.62","193.14249999999998","1.0099999999999998","2.765000000000015","7.550000000000029","7.125","6.115","194.525","191.76","0","3.41","3.41","3.41","7.5072","0","0","0","0","1","0","0","3.7750000000000146","0","0","0","0","0","2","_d03224b032620000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_d03224b032620000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","3.41","1","3.41","3.41","3.41","8.97","194.48","8.97","194.48","1","0","0","0","8.97","","194.48","","2"
