idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3256_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3256_/D","_3335_/Q","_3256_/D","0.033",0.032816,18,OK
2,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3211_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3211_/D","_3335_/Q","_3211_/D","0.043",0.042857,16,OK
3,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3254_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3254_/D","_3335_/Q","_3254_/D","0.073",0.073200,18,OK
4,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3252_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3252_/D","_3335_/Q","_3252_/D","0.076",0.075575,18,OK
5,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3245_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3245_/D","_3335_/Q","_3245_/D","0.091",0.091058,16,OK
6,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3269_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3269_/D","_3335_/Q","_3269_/D","0.099",0.098863,16,OK
7,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3277_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3277_/D","_3335_/Q","_3277_/D","0.107",0.106589,16,OK
8,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3279_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3279_/D","_3335_/Q","_3279_/D","0.11",0.109848,16,OK
9,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3305_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3305_/D","_3335_/Q","_3305_/D","0.11",0.110081,16,OK
10,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3301_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3301_/D","_3335_/Q","_3301_/D","0.112",0.112018,16,OK
11,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3208_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3208_/D","_3335_/Q","_3208_/D","0.113",0.112774,18,OK
12,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3313_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3313_/D","_3335_/Q","_3313_/D","0.117",0.116583,16,OK
