idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3208_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3208_/D","_3335_/Q","_3208_/D","-0.312",-0.312031,22,OK
2,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3252_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3252_/D","_3335_/Q","_3252_/D","-0.311",-0.310688,22,OK
3,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3254_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3254_/D","_3335_/Q","_3254_/D","-0.292",-0.291976,22,OK
4,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3195_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3195_/D","_3335_/Q","_3195_/D","-0.287",-0.286816,22,OK
5,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3211_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3211_/D","_3335_/Q","_3211_/D","-0.259",-0.258664,20,OK
6,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3229_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3229_/D","_3335_/Q","_3229_/D","-0.255",-0.254571,22,OK
7,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3233_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3233_/D","_3335_/Q","_3233_/D","-0.251",-0.251056,22,OK
8,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3279_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3279_/D","_3335_/Q","_3279_/D","-0.245",-0.244778,20,OK
9,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3285_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3285_/D","_3335_/Q","_3285_/D","-0.24",-0.239995,20,OK
10,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3231_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3231_/D","_3335_/Q","_3231_/D","-0.238",-0.237888,22,OK
11,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3301_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3301_/D","_3335_/Q","_3301_/D","-0.232",-0.232305,20,OK
12,"_3335_/Q (sky130_fd_sc_hd__dfrtp_1)","_3192_/D (sky130_fd_sc_hd__dfrtp_1)","_3335_/Q","_3192_/D","_3335_/Q","_3192_/D","-0.218",-0.218321,20,OK
