net_name,label
DataIn_o[0],0
DataIn_o[1],0
DataIn_o[2],0
DataIn_o[3],0
DataIn_o[4],0
DataIn_o[5],0
DataIn_o[6],0
DataIn_o[7],0
DataOut_i[0],0
DataOut_i[1],0
DataOut_i[2],0
DataOut_i[3],0
DataOut_i[4],0
DataOut_i[5],0
DataOut_i[6],0
DataOut_i[7],0
RxActive_o,1
RxError_o,0
RxValid_o,0
TxReady_o,0
TxValid_i,0
_000_,0
_001_,0
_002_,0
_003_,0
_004_,0
_005_,0
_006_,0
_007_,0
_008_,0
_009_,0
_010_,0
_011_,0
_012_,0
_013_,0
_014_,0
_015_,0
_016_,0
_017_,0
_018_,0
_019_,0
_020_,1
_021_,0
_022_,0
_023_,0
_024_,0
_025_,0
_026_,0
_027_,0
_028_,0
_029_,0
_030_,0
_031_,0
_032_,0
_033_,0
_034_,0
_035_,0
_036_,0
_037_,0
_038_,0
_039_,0
_040_,0
_041_,0
_042_,0
_043_,0
_044_,0
_045_,0
_046_,0
_047_,0
_048_,0
_049_,0
_050_,0
_051_,0
_052_,0
_053_,0
_054_,0
_055_,0
_056_,0
_057_,0
_058_,0
_059_,0
_060_,0
_061_,0
_062_,0
_063_,0
_064_,0
_065_,0
_066_,0
_067_,0
_068_,0
_069_,0
_070_,0
_071_,0
_072_,1
_073_,1
_074_,1
_075_,1
_076_,1
_077_,0
_078_,0
_079_,0
_080_,0
_081_,0
_082_,0
_083_,0
_084_,0
_085_,0
_086_,0
_087_,0
_088_,0
_089_,0
_090_,0
_091_,0
_092_,0
_093_,1
_094_,0
_095_,0
_096_,0
_097_,0
_098_,0
_099_,0
_100_,0
_101_,0
_102_,0
_103_,0
_104_,0
_105_,0
_106_,0
_107_,0
_108_,0
_109_,0
_110_,0
_111_,0
_112_,0
_113_,0
_114_,0
_115_,0
_116_,0
_117_,0
_118_,0
_119_,0
_120_,0
_121_,0
_122_,0
_123_,0
_124_,0
_125_,0
_126_,0
_127_,0
_128_,0
_129_,0
_130_,0
_131_,0
_132_,0
_133_,0
_134_,0
_135_,0
_136_,0
_137_,0
_138_,0
_139_,0
_140_,0
_141_,0
_142_,0
_143_,0
_144_,0
_145_,0
_146_,0
_147_,0
_148_,0
_149_,0
_150_,0
_151_,0
_152_,0
_153_,0
_154_,0
_155_,0
_156_,0
_157_,0
_158_,0
_159_,0
_160_,0
_161_,0
_162_,0
_163_,0
_164_,0
_165_,0
_166_,0
_167_,0
_168_,0
_169_,0
_170_,0
_171_,0
_172_,0
_173_,0
_174_,0
_175_,0
_176_,0
_177_,0
_178_,0
_179_,0
_180_,0
_181_,0
_182_,0
_183_,0
_184_,0
_185_,0
_186_,0
_187_,0
_188_,0
_189_,0
_190_,0
_191_,0
_192_,0
_193_,0
_194_,0
_195_,0
_196_,0
_197_,0
_198_,0
_199_,0
_200_,0
_201_,0
_202_,0
_203_,0
_204_,0
_205_,0
_206_,0
_207_,0
_208_,1
_209_,1
_210_,1
_211_,1
_212_,1
_213_,1
_214_,1
_215_,0
_216_,0
clk,0
fs_ce,0
i_rx_phy.bit_cnt[0],0
i_rx_phy.bit_cnt[1],0
i_rx_phy.bit_cnt[2],0
i_rx_phy.bit_stuff_err,0
i_rx_phy.byte_err,0
i_rx_phy.dpll_state[0],0
i_rx_phy.dpll_state[1],0
i_rx_phy.dpll_state[2],0
i_rx_phy.dpll_state[3],0
i_rx_phy.fs_ce_d,0
i_rx_phy.fs_ce_r1,0
i_rx_phy.fs_ce_r2,0
i_rx_phy.fs_state[0],0
i_rx_phy.fs_state[1],0
i_rx_phy.fs_state[2],0
i_rx_phy.fs_state[3],0
i_rx_phy.fs_state[4],0
i_rx_phy.fs_state[5],0
i_rx_phy.fs_state[6],0
i_rx_phy.fs_state[7],0
i_rx_phy.lock_en,0
i_rx_phy.one_cnt[0],0
i_rx_phy.one_cnt[1],0
i_rx_phy.one_cnt[2],0
i_rx_phy.rx_valid1,0
i_rx_phy.rx_valid_r,0
i_rx_phy.rxd_r,0
i_rx_phy.rxd_s,0
i_rx_phy.rxd_s0,0
i_rx_phy.rxd_s1,0
i_rx_phy.rxdn_s,0
i_rx_phy.rxdn_s0,0
i_rx_phy.rxdn_s1,0
i_rx_phy.rxdn_s_r,0
i_rx_phy.rxdp_s,0
i_rx_phy.rxdp_s0,0
i_rx_phy.rxdp_s1,0
i_rx_phy.rxdp_s_r,0
i_rx_phy.sd_nrzi,0
i_rx_phy.sd_r,0
i_rx_phy.se0,0
i_rx_phy.se0_r,0
i_rx_phy.se0_s,0
i_rx_phy.shift_en,0
i_rx_phy.sync_err,0
i_tx_phy.append_eop,0
i_tx_phy.append_eop_sync1,0
i_tx_phy.append_eop_sync2,0
i_tx_phy.append_eop_sync3,0
i_tx_phy.append_eop_sync4,0
i_tx_phy.bit_cnt[0],0
i_tx_phy.bit_cnt[1],0
i_tx_phy.bit_cnt[2],0
i_tx_phy.data_done,0
i_tx_phy.hold_reg[0],0
i_tx_phy.hold_reg[1],0
i_tx_phy.hold_reg[2],0
i_tx_phy.hold_reg[3],0
i_tx_phy.hold_reg[4],0
i_tx_phy.hold_reg[5],0
i_tx_phy.hold_reg[6],0
i_tx_phy.hold_reg[7],0
i_tx_phy.hold_reg_d[0],0
i_tx_phy.hold_reg_d[1],0
i_tx_phy.hold_reg_d[2],0
i_tx_phy.hold_reg_d[3],0
i_tx_phy.hold_reg_d[4],0
i_tx_phy.hold_reg_d[5],0
i_tx_phy.hold_reg_d[6],0
i_tx_phy.hold_reg_d[7],0
i_tx_phy.ld_data,0
i_tx_phy.ld_data_d,0
i_tx_phy.one_cnt[0],0
i_tx_phy.one_cnt[1],0
i_tx_phy.one_cnt[2],0
i_tx_phy.sd_bs_o,0
i_tx_phy.sd_nrzi_o,0
i_tx_phy.sd_raw_o,0
i_tx_phy.sft_done,0
i_tx_phy.sft_done_r,0
i_tx_phy.state[0],0
i_tx_phy.state[1],0
i_tx_phy.state[2],0
i_tx_phy.state[3],0
i_tx_phy.state[4],0
i_tx_phy.state[5],0
i_tx_phy.tx_ip,0
i_tx_phy.tx_ip_sync,0
i_tx_phy.txoe_r1,0
i_tx_phy.txoe_r2,0
phy_tx_mode,0
rst,0
rst_cnt[0],0
rst_cnt[1],0
rst_cnt[2],0
rst_cnt[3],0
rst_cnt[4],0
rxd,0
rxdn,0
rxdp,0
txdn,0
txdp,0
txoe,0
usb_rst,1
net235,0
net2,0
net3,0
net238,0
net240,0
net222,0
net306,0
net256,0
net221,0
net220,0
net288,0
net285,1
net304,0
net287,0
net261,0
net262,0
net291,0
net292,0
net294,0
net297,0
net293,0
net295,0
net296,0
net298,0
net268,0
net300,0
net267,0
net302,0
net299,0
net260,0
net301,0
net258,0
net259,0
net255,0
net257,0
net281,0
net254,0
net38,0
net39,0
net40,0
net41,0
net42,0
net43,0
net44,0
net45,0
net46,0
net47,0
net48,0
net49,0
net50,0
net51,0
net52,0
net53,0
net54,0
net55,0
net56,0
net57,0
net58,0
net59,0
net60,0
net61,0
net62,0
net63,0
net64,0
net65,0
net66,0
net67,0
net270,0
net271,0
net272,0
net273,0
net274,0
net275,0
net276,1
net277,1
net278,0
net279,0
net280,0
net204,0
net193,0
net192,0
net191,0
net190,0
net189,0
net188,0
net202,0
net187,0
net282,0
net269,0
net284,1
net283,0
net286,0
net305,0
net201,0
net200,0
net199,0
net198,0
net197,0
net196,0
net195,0
net194,0
net203,0
net219,0
net218,0
net217,0
net216,0
net211,0
net210,0
net209,0
net208,0
net207,0
net206,0
net205,0
net215,0
net214,0
net213,0
net212,0
net290,0
net289,0
net303,0
net266,0
net265,0
net264,0
net263,0
net230,0
net232,1
net236,0
net237,0
net241,0
net245,0
net242,0
net243,0
net244,0
net246,0
net248,0
net249,0
net250,0
net251,0
net252,0
net253,0
net307,0
net223,0
net224,0
net225,0
net226,0
net227,0
net228,0
net229,0
net231,0
net233,1
net234,0
net239,0
net247,0
net308,0
net309,0
net310,0
net311,0
net312,0
net313,0
net314,0
net315,0
net316,0
net317,0
net318,0
net319,0
net320,0
net321,0
net322,0
net323,0
net324,0
net325,0
net326,0
net327,0
net328,0
net329,0
net330,0
net331,0
net332,0
net333,0
net334,0
net335,0
net336,0
clknet_0_clk,0
clknet_3_0__leaf_clk,0
clknet_3_1__leaf_clk,0
clknet_3_2__leaf_clk,0
clknet_3_3__leaf_clk,0
clknet_3_4__leaf_clk,0
clknet_3_5__leaf_clk,0
clknet_3_6__leaf_clk,0
clknet_3_7__leaf_clk,0
net337,0
net338,0
net339,0
net340,0
net341,0
net342,0
net343,1
net344,1
net345,0
net346,0
net347,0
net348,0
net349,0
net350,0
net351,1
net352,1
net353,0
net354,0
net355,0
net356,0
net357,0
net358,0
net359,0
net360,0
net361,0
net362,0
net363,0
net364,0
net365,0
net366,0
net367,0
net368,0
net369,0
net370,0
net371,0
net372,0
net373,0
net374,0
net375,0
net376,0
net377,0
net378,0
net379,0
net380,0
net381,0
net382,0
net383,0
net384,0
net385,0
net386,0
net387,0
net388,0
net389,0
net390,0
net391,0
net392,0
net393,0
net394,0
net395,0
net396,0
net397,0
net398,0
net399,0
net400,0
net401,0
net402,0
net403,0
net404,0
net405,0
net406,0
net407,0
net408,0
net409,0
net410,0
net411,0
net412,0
net413,0
net414,1
net415,1
net416,0
net417,0
net418,0
net419,0
net420,0
net421,0
net422,1
net423,1
net424,0
net425,0
net426,0
net427,0
net428,0
net429,0
net430,0
net431,0
net432,0
net433,0
net434,0
net435,0
net436,0
net437,0
net438,0
net439,0
net440,0
net441,0
net442,0
net443,0
net444,0
net445,0
net446,0
net447,0
net448,0
net449,0
net450,0
