test_blocks,train_blocks,feature_mode,N_test_endpoints,N_test_groups,K_violating,Recall@K,NDCG@K,Spearman,Heur_HPWL_Recall@K,Heur_HPWL_Spearman,Heur_Fanout_Recall@K,Heur_Fanout_Spearman
FIR_filter,"pcm_slv_top,spi_top,usb_phy",full,407,1,12,0.08333333333333333,-1.507727553505996,-0.02854156150302195,0.0,-0.1174833112282222,0.0,-0.26664767657394445
FIR_filter,"pcm_slv_top,spi_top,usb_phy",no_spatial,407,1,12,0.25,-0.559560497846903,0.06295909163521794,0.0,-0.1174833112282222,0.0,-0.26664767657394445
FIR_filter,"pcm_slv_top,spi_top,usb_phy",only_baseline,407,1,12,0.0,-1.7912742704828886,0.09156810208293581,0.0,-0.1174833112282222,0.0,-0.26664767657394445
pcm_slv_top,"FIR_filter,spi_top,usb_phy",full,68,1,1,0.0,-4.680270985041086,0.15936939344199716,0.0,-0.44130783357853065,0.0,-0.5405543613981982
pcm_slv_top,"FIR_filter,spi_top,usb_phy",no_spatial,68,1,1,0.0,-4.680270985041086,0.1387563461465053,0.0,-0.44130783357853065,0.0,-0.5405543613981982
pcm_slv_top,"FIR_filter,spi_top,usb_phy",only_baseline,68,1,1,0.0,-6.238856716090095,-0.2569017646303771,0.0,-0.44130783357853065,0.0,-0.5405543613981982
spi_top,"pcm_slv_top,FIR_filter,usb_phy",full,229,1,74,0.22972972972972974,-3.983839915851743,-0.06708602720014391,0.20270270270270271,-0.31195307318082416,0.5540540540540541,
spi_top,"pcm_slv_top,FIR_filter,usb_phy",no_spatial,229,1,74,0.21621621621621623,-4.518595472928509,-0.11840159643500525,0.20270270270270271,-0.31195307318082416,0.5540540540540541,
spi_top,"pcm_slv_top,FIR_filter,usb_phy",only_baseline,229,1,74,0.36486486486486486,-2.466599561689247,0.10198192987546383,0.20270270270270271,-0.31195307318082416,0.5540540540540541,
usb_phy,"pcm_slv_top,FIR_filter,spi_top",full,105,1,7,0.2857142857142857,-2.068102880938724,0.34219365540120256,0.0,-0.2639760728631403,0.0,-0.5917261508198804
usb_phy,"pcm_slv_top,FIR_filter,spi_top",no_spatial,105,1,7,0.14285714285714285,-2.1334618943873154,0.35014513788098695,0.0,-0.2639760728631403,0.0,-0.5917261508198804
usb_phy,"pcm_slv_top,FIR_filter,spi_top",only_baseline,105,1,7,0.14285714285714285,-2.2693450096797454,0.19209041139549635,0.0,-0.2639760728631403,0.0,-0.5917261508198804
